, ,Number of genomes
240,Cluster 240,21
241,Cluster 241,1
242,Cluster 242,1
243,Cluster 243,268
244,Cluster 244,16
245,Cluster 245,222
246,Cluster 246,23
247,Cluster 247,1
248,Cluster 248,269
249,Cluster 249,3
250,Cluster 250,269
251,Cluster 251,267
252,Cluster 252,3
253,Cluster 253,4
254,Cluster 254,1
255,Cluster 255,3
256,Cluster 256,269
257,Cluster 257,5
258,Cluster 258,2
259,Cluster 259,79
260,Cluster 260,16
261,Cluster 261,1
262,Cluster 262,6
263,Cluster 263,1
264,Cluster 264,5
265,Cluster 265,7
266,Cluster 266,13
267,Cluster 267,1
268,Cluster 268,5
269,Cluster 269,3
270,Cluster 270,11
271,Cluster 271,2
272,Cluster 272,269
273,Cluster 273,196
274,Cluster 274,1
275,Cluster 275,269
276,Cluster 276,4
277,Cluster 277,2
278,Cluster 278,1
279,Cluster 279,3
280,Cluster 280,14
281,Cluster 281,14
282,Cluster 282,26
283,Cluster 283,269
284,Cluster 284,268
285,Cluster 285,39
286,Cluster 286,269
287,Cluster 287,1
288,Cluster 288,27
289,Cluster 289,21
290,Cluster 290,8
291,Cluster 291,6
292,Cluster 292,17
293,Cluster 293,4
294,Cluster 294,22
295,Cluster 295,80
296,Cluster 296,27
297,Cluster 297,1
298,Cluster 298,269
299,Cluster 299,264
300,Cluster 300,18
301,Cluster 301,1
302,Cluster 302,269
303,Cluster 303,30
304,Cluster 304,2
305,Cluster 305,269
306,Cluster 306,269
307,Cluster 307,2
308,Cluster 308,240
309,Cluster 309,1
310,Cluster 310,208
311,Cluster 311,269
312,Cluster 312,1
313,Cluster 313,11
314,Cluster 314,190
315,Cluster 315,5
316,Cluster 316,75
317,Cluster 317,11
318,Cluster 318,2
319,Cluster 319,2
320,Cluster 320,233
321,Cluster 321,1
322,Cluster 322,1
323,Cluster 323,261
324,Cluster 324,1
325,Cluster 325,8
326,Cluster 326,261
327,Cluster 327,2
328,Cluster 328,1
329,Cluster 329,269
330,Cluster 330,22
331,Cluster 331,6
332,Cluster 332,2
333,Cluster 333,1
334,Cluster 334,3
335,Cluster 335,5
336,Cluster 336,2
337,Cluster 337,17
338,Cluster 338,26
339,Cluster 339,2
340,Cluster 340,269
341,Cluster 341,21
342,Cluster 342,3
343,Cluster 343,266
344,Cluster 344,3
345,Cluster 345,267
346,Cluster 346,2
347,Cluster 347,269
348,Cluster 348,269
349,Cluster 349,24
350,Cluster 350,269
351,Cluster 351,269
352,Cluster 352,269
353,Cluster 353,17
354,Cluster 354,11
355,Cluster 355,17
356,Cluster 356,3
357,Cluster 357,246
358,Cluster 358,1
359,Cluster 359,269
360,Cluster 360,1
361,Cluster 361,269
362,Cluster 362,269
363,Cluster 363,268
364,Cluster 364,266
365,Cluster 365,269
366,Cluster 366,268
367,Cluster 367,269
368,Cluster 368,5
369,Cluster 369,4
370,Cluster 370,130
371,Cluster 371,72
372,Cluster 372,268
373,Cluster 373,269
374,Cluster 374,8
375,Cluster 375,3
376,Cluster 376,22
377,Cluster 377,5
378,Cluster 378,77
379,Cluster 379,2
380,Cluster 380,32
381,Cluster 381,269
382,Cluster 382,269
383,Cluster 383,110
384,Cluster 384,3
385,Cluster 385,269
386,Cluster 386,256
387,Cluster 387,268
388,Cluster 388,269
389,Cluster 389,1
390,Cluster 390,269
391,Cluster 391,269
392,Cluster 392,6
393,Cluster 393,268
394,Cluster 394,117
395,Cluster 395,261
396,Cluster 396,269
397,Cluster 397,5
398,Cluster 398,2
399,Cluster 399,269
400,Cluster 400,1
401,Cluster 401,269
402,Cluster 402,268
403,Cluster 403,1
404,Cluster 404,7
405,Cluster 405,12
406,Cluster 406,141
407,Cluster 407,45
408,Cluster 408,13
409,Cluster 409,269
410,Cluster 410,2
411,Cluster 411,68
412,Cluster 412,3
413,Cluster 413,30
414,Cluster 414,231
415,Cluster 415,47
416,Cluster 416,2
417,Cluster 417,269
418,Cluster 418,68
419,Cluster 419,8
420,Cluster 420,43
421,Cluster 421,12
422,Cluster 422,269
423,Cluster 423,1
424,Cluster 424,3
425,Cluster 425,48
426,Cluster 426,15
427,Cluster 427,8
428,Cluster 428,2
429,Cluster 429,5
430,Cluster 430,1
431,Cluster 431,2
432,Cluster 432,269
433,Cluster 433,58
434,Cluster 434,269
435,Cluster 435,111
436,Cluster 436,1
437,Cluster 437,6
438,Cluster 438,7
439,Cluster 439,4
440,Cluster 440,7
441,Cluster 441,1
442,Cluster 442,4
443,Cluster 443,5
444,Cluster 444,1
445,Cluster 445,268
446,Cluster 446,269
447,Cluster 447,184
448,Cluster 448,2
449,Cluster 449,134
450,Cluster 450,269
451,Cluster 451,259
452,Cluster 452,2
453,Cluster 453,10
454,Cluster 454,269
455,Cluster 455,268
456,Cluster 456,269
457,Cluster 457,1
458,Cluster 458,13
459,Cluster 459,1
460,Cluster 460,1
461,Cluster 461,1
462,Cluster 462,2
463,Cluster 463,2
464,Cluster 464,9
465,Cluster 465,3
466,Cluster 466,4
467,Cluster 467,3
468,Cluster 468,3
469,Cluster 469,3
470,Cluster 470,269
471,Cluster 471,30
472,Cluster 472,1
473,Cluster 473,269
474,Cluster 474,112
475,Cluster 475,269
476,Cluster 476,110
477,Cluster 477,269
478,Cluster 478,21
479,Cluster 479,31
480,Cluster 480,248
481,Cluster 481,3
482,Cluster 482,45
483,Cluster 483,269
484,Cluster 484,62
485,Cluster 485,7
486,Cluster 486,1
487,Cluster 487,1
488,Cluster 488,269
489,Cluster 489,1
490,Cluster 490,4
491,Cluster 491,4
492,Cluster 492,95
493,Cluster 493,1
494,Cluster 494,269
495,Cluster 495,159
496,Cluster 496,1
497,Cluster 497,3
498,Cluster 498,6
499,Cluster 499,172
500,Cluster 500,2
501,Cluster 501,5
502,Cluster 502,269
503,Cluster 503,269
504,Cluster 504,13
505,Cluster 505,269
506,Cluster 506,269
507,Cluster 507,3
508,Cluster 508,3
509,Cluster 509,269
510,Cluster 510,15
511,Cluster 511,1
512,Cluster 512,10
513,Cluster 513,1
514,Cluster 514,1
515,Cluster 515,269
516,Cluster 516,6
517,Cluster 517,1
518,Cluster 518,1
519,Cluster 519,269
520,Cluster 520,1
521,Cluster 521,269
522,Cluster 522,2
523,Cluster 523,1
524,Cluster 524,3
525,Cluster 525,7
526,Cluster 526,1
527,Cluster 527,2
528,Cluster 528,269
529,Cluster 529,1
530,Cluster 530,2
531,Cluster 531,269
532,Cluster 532,21
533,Cluster 533,38
534,Cluster 534,7
535,Cluster 535,269
536,Cluster 536,266
537,Cluster 537,269
538,Cluster 538,14
539,Cluster 539,2
540,Cluster 540,3
541,Cluster 541,1
542,Cluster 542,269
543,Cluster 543,263
544,Cluster 544,3
545,Cluster 545,269
546,Cluster 546,269
547,Cluster 547,269
548,Cluster 548,269
549,Cluster 549,8
550,Cluster 550,1
551,Cluster 551,10
552,Cluster 552,1
553,Cluster 553,14
554,Cluster 554,8
555,Cluster 555,1
556,Cluster 556,47
557,Cluster 557,267
558,Cluster 558,269
559,Cluster 559,269
560,Cluster 560,1
561,Cluster 561,1
562,Cluster 562,8
563,Cluster 563,1
564,Cluster 564,269
565,Cluster 565,1
566,Cluster 566,269
567,Cluster 567,2
568,Cluster 568,268
569,Cluster 569,1
570,Cluster 570,244
571,Cluster 571,2
572,Cluster 572,16
573,Cluster 573,269
574,Cluster 574,42
575,Cluster 575,269
576,Cluster 576,62
577,Cluster 577,1
578,Cluster 578,269
579,Cluster 579,269
580,Cluster 580,25
581,Cluster 581,20
582,Cluster 582,5
583,Cluster 583,3
584,Cluster 584,269
585,Cluster 585,1
586,Cluster 586,1
587,Cluster 587,269
588,Cluster 588,269
589,Cluster 589,6
590,Cluster 590,198
591,Cluster 591,269
592,Cluster 592,221
593,Cluster 593,32
594,Cluster 594,2
595,Cluster 595,1
596,Cluster 596,265
597,Cluster 597,1
598,Cluster 598,3
599,Cluster 599,17
600,Cluster 600,2
601,Cluster 601,17
602,Cluster 602,8
603,Cluster 603,43
604,Cluster 604,3
605,Cluster 605,2
606,Cluster 606,208
607,Cluster 607,1
608,Cluster 608,269
609,Cluster 609,7
610,Cluster 610,2
611,Cluster 611,2
612,Cluster 612,269
613,Cluster 613,269
614,Cluster 614,7
615,Cluster 615,2
616,Cluster 616,2
617,Cluster 617,269
618,Cluster 618,4
619,Cluster 619,269
620,Cluster 620,119
621,Cluster 621,3
622,Cluster 622,1
623,Cluster 623,1
624,Cluster 624,1
625,Cluster 625,10
626,Cluster 626,3
627,Cluster 627,1
628,Cluster 628,265
629,Cluster 629,260
630,Cluster 630,26
631,Cluster 631,269
632,Cluster 632,269
633,Cluster 633,1
634,Cluster 634,38
635,Cluster 635,4
636,Cluster 636,3
637,Cluster 637,5
638,Cluster 638,256
639,Cluster 639,2
640,Cluster 640,269
641,Cluster 641,269
642,Cluster 642,269
643,Cluster 643,1
644,Cluster 644,4
645,Cluster 645,1
646,Cluster 646,2
647,Cluster 647,1
648,Cluster 648,269
649,Cluster 649,10
650,Cluster 650,1
651,Cluster 651,12
652,Cluster 652,269
653,Cluster 653,269
654,Cluster 654,269
655,Cluster 655,3
656,Cluster 656,269
657,Cluster 657,269
658,Cluster 658,5
659,Cluster 659,1
660,Cluster 660,1
661,Cluster 661,3
662,Cluster 662,4
663,Cluster 663,4
664,Cluster 664,269
665,Cluster 665,268
666,Cluster 666,1
667,Cluster 667,8
668,Cluster 668,269
669,Cluster 669,6
670,Cluster 670,2
671,Cluster 671,234
672,Cluster 672,269
673,Cluster 673,3
674,Cluster 674,9
675,Cluster 675,255
676,Cluster 676,3
677,Cluster 677,2
678,Cluster 678,237
679,Cluster 679,268
680,Cluster 680,4
681,Cluster 681,2
682,Cluster 682,2
683,Cluster 683,269
684,Cluster 684,269
685,Cluster 685,2
686,Cluster 686,3
687,Cluster 687,5
688,Cluster 688,269
689,Cluster 689,11
690,Cluster 690,8
691,Cluster 691,175
692,Cluster 692,1
693,Cluster 693,1
694,Cluster 694,1
695,Cluster 695,269
696,Cluster 696,269
697,Cluster 697,182
698,Cluster 698,1
699,Cluster 699,42
700,Cluster 700,60
701,Cluster 701,1
702,Cluster 702,1
703,Cluster 703,1
704,Cluster 704,268
705,Cluster 705,269
706,Cluster 706,2
707,Cluster 707,1
708,Cluster 708,2
709,Cluster 709,2
710,Cluster 710,8
711,Cluster 711,5
712,Cluster 712,2
713,Cluster 713,269
714,Cluster 714,264
715,Cluster 715,1
716,Cluster 716,269
717,Cluster 717,154
718,Cluster 718,269
719,Cluster 719,31
720,Cluster 720,1
721,Cluster 721,220
722,Cluster 722,268
723,Cluster 723,265
724,Cluster 724,1
725,Cluster 725,5
726,Cluster 726,267
727,Cluster 727,6
728,Cluster 728,269
729,Cluster 729,37
730,Cluster 730,4
731,Cluster 731,4
732,Cluster 732,4
733,Cluster 733,269
734,Cluster 734,1
735,Cluster 735,269
736,Cluster 736,269
737,Cluster 737,1
738,Cluster 738,14
739,Cluster 739,2
740,Cluster 740,269
741,Cluster 741,269
742,Cluster 742,114
743,Cluster 743,20
744,Cluster 744,2
745,Cluster 745,1
746,Cluster 746,2
747,Cluster 747,3
748,Cluster 748,20
749,Cluster 749,269
750,Cluster 750,269
751,Cluster 751,269
752,Cluster 752,5
753,Cluster 753,3
754,Cluster 754,269
755,Cluster 755,269
756,Cluster 756,269
757,Cluster 757,269
758,Cluster 758,1
759,Cluster 759,21
760,Cluster 760,1
761,Cluster 761,1
762,Cluster 762,269
763,Cluster 763,219
764,Cluster 764,269
765,Cluster 765,13
766,Cluster 766,29
767,Cluster 767,1
768,Cluster 768,269
769,Cluster 769,269
770,Cluster 770,269
771,Cluster 771,4
772,Cluster 772,210
773,Cluster 773,1
774,Cluster 774,1
775,Cluster 775,269
776,Cluster 776,269
777,Cluster 777,109
778,Cluster 778,4
779,Cluster 779,1
780,Cluster 780,269
781,Cluster 781,268
782,Cluster 782,50
783,Cluster 783,70
784,Cluster 784,1
785,Cluster 785,1
786,Cluster 786,10
787,Cluster 787,268
788,Cluster 788,269
789,Cluster 789,268
790,Cluster 790,259
791,Cluster 791,268
792,Cluster 792,269
793,Cluster 793,163
794,Cluster 794,1
795,Cluster 795,27
796,Cluster 796,269
797,Cluster 797,39
798,Cluster 798,9
799,Cluster 799,1
800,Cluster 800,5
801,Cluster 801,28
802,Cluster 802,269
803,Cluster 803,1
804,Cluster 804,265
805,Cluster 805,3
806,Cluster 806,2
807,Cluster 807,1
808,Cluster 808,268
809,Cluster 809,269
810,Cluster 810,1
811,Cluster 811,1
812,Cluster 812,1
813,Cluster 813,10
814,Cluster 814,1
815,Cluster 815,269
816,Cluster 816,264
817,Cluster 817,268
818,Cluster 818,269
819,Cluster 819,1
820,Cluster 820,236
821,Cluster 821,2
822,Cluster 822,269
823,Cluster 823,263
824,Cluster 824,269
825,Cluster 825,1
826,Cluster 826,268
827,Cluster 827,10
828,Cluster 828,269
829,Cluster 829,269
830,Cluster 830,1
831,Cluster 831,2
832,Cluster 832,269
833,Cluster 833,269
834,Cluster 834,7
835,Cluster 835,1
836,Cluster 836,1
837,Cluster 837,14
838,Cluster 838,269
839,Cluster 839,182
840,Cluster 840,268
841,Cluster 841,26
842,Cluster 842,2
843,Cluster 843,269
844,Cluster 844,269
845,Cluster 845,22
846,Cluster 846,111
847,Cluster 847,38
848,Cluster 848,233
849,Cluster 849,155
850,Cluster 850,269
851,Cluster 851,268
852,Cluster 852,269
853,Cluster 853,269
854,Cluster 854,269
855,Cluster 855,8
856,Cluster 856,42
857,Cluster 857,3
858,Cluster 858,2
859,Cluster 859,1
860,Cluster 860,269
861,Cluster 861,268
862,Cluster 862,269
863,Cluster 863,269
864,Cluster 864,23
865,Cluster 865,28
866,Cluster 866,5
867,Cluster 867,2
868,Cluster 868,268
869,Cluster 869,4
870,Cluster 870,151
871,Cluster 871,102
872,Cluster 872,269
873,Cluster 873,1
874,Cluster 874,12
875,Cluster 875,4
876,Cluster 876,37
877,Cluster 877,269
878,Cluster 878,269
879,Cluster 879,1
880,Cluster 880,38
881,Cluster 881,1
882,Cluster 882,3
883,Cluster 883,62
884,Cluster 884,2
885,Cluster 885,269
886,Cluster 886,263
887,Cluster 887,7
888,Cluster 888,1
889,Cluster 889,5
890,Cluster 890,1
891,Cluster 891,2
892,Cluster 892,269
893,Cluster 893,268
894,Cluster 894,89
895,Cluster 895,5
896,Cluster 896,1
897,Cluster 897,1
898,Cluster 898,1
899,Cluster 899,269
900,Cluster 900,269
901,Cluster 901,53
902,Cluster 902,268
903,Cluster 903,269
904,Cluster 904,2
905,Cluster 905,2
906,Cluster 906,2
907,Cluster 907,268
908,Cluster 908,269
909,Cluster 909,269
910,Cluster 910,4
911,Cluster 911,1
912,Cluster 912,3
913,Cluster 913,2
914,Cluster 914,269
915,Cluster 915,62
916,Cluster 916,31
917,Cluster 917,17
918,Cluster 918,5
919,Cluster 919,4
920,Cluster 920,8
921,Cluster 921,1
922,Cluster 922,12
923,Cluster 923,3
924,Cluster 924,269
925,Cluster 925,260
926,Cluster 926,3
927,Cluster 927,3
928,Cluster 928,2
929,Cluster 929,269
930,Cluster 930,2
931,Cluster 931,1
932,Cluster 932,1
933,Cluster 933,269
934,Cluster 934,213
935,Cluster 935,23
936,Cluster 936,4
937,Cluster 937,269
938,Cluster 938,17
939,Cluster 939,2
940,Cluster 940,267
941,Cluster 941,1
942,Cluster 942,2
943,Cluster 943,266
944,Cluster 944,269
945,Cluster 945,8
946,Cluster 946,2
947,Cluster 947,1
948,Cluster 948,3
949,Cluster 949,269
950,Cluster 950,13
951,Cluster 951,5
952,Cluster 952,268
953,Cluster 953,1
954,Cluster 954,3
955,Cluster 955,237
956,Cluster 956,269
957,Cluster 957,207
958,Cluster 958,2
959,Cluster 959,10
960,Cluster 960,12
961,Cluster 961,1
962,Cluster 962,268
963,Cluster 963,269
964,Cluster 964,269
965,Cluster 965,269
966,Cluster 966,269
967,Cluster 967,3
968,Cluster 968,1
969,Cluster 969,2
970,Cluster 970,1
971,Cluster 971,261
972,Cluster 972,72
973,Cluster 973,21
974,Cluster 974,258
975,Cluster 975,60
976,Cluster 976,5
977,Cluster 977,2
978,Cluster 978,2
979,Cluster 979,4
980,Cluster 980,269
981,Cluster 981,269
982,Cluster 982,269
983,Cluster 983,14
984,Cluster 984,62
985,Cluster 985,29
986,Cluster 986,1
987,Cluster 987,4
988,Cluster 988,1
989,Cluster 989,2
990,Cluster 990,3
991,Cluster 991,7
992,Cluster 992,2
993,Cluster 993,7
994,Cluster 994,9
995,Cluster 995,269
996,Cluster 996,268
997,Cluster 997,269
998,Cluster 998,268
999,Cluster 999,269
1000,Cluster 1000,269
1001,Cluster 1001,269
1002,Cluster 1002,31
1003,Cluster 1003,43
1004,Cluster 1004,203
1005,Cluster 1005,2
1006,Cluster 1006,113
1007,Cluster 1007,1
1008,Cluster 1008,4
1009,Cluster 1009,269
1010,Cluster 1010,3
1011,Cluster 1011,134
1012,Cluster 1012,2
1013,Cluster 1013,5
1014,Cluster 1014,3
1015,Cluster 1015,4
1016,Cluster 1016,2
1017,Cluster 1017,269
1018,Cluster 1018,268
1019,Cluster 1019,269
1020,Cluster 1020,269
1021,Cluster 1021,1
1022,Cluster 1022,238
1023,Cluster 1023,269
1024,Cluster 1024,268
1025,Cluster 1025,38
1026,Cluster 1026,12
1027,Cluster 1027,22
1028,Cluster 1028,1
1029,Cluster 1029,2
1030,Cluster 1030,4
1031,Cluster 1031,63
1032,Cluster 1032,102
1033,Cluster 1033,95
1034,Cluster 1034,7
1035,Cluster 1035,265
1036,Cluster 1036,269
1037,Cluster 1037,269
1038,Cluster 1038,3
1039,Cluster 1039,1
1040,Cluster 1040,4
1041,Cluster 1041,1
1042,Cluster 1042,1
1043,Cluster 1043,61
1044,Cluster 1044,269
1045,Cluster 1045,9
1046,Cluster 1046,269
1047,Cluster 1047,116
1048,Cluster 1048,1
1049,Cluster 1049,2
1050,Cluster 1050,268
1051,Cluster 1051,163
1052,Cluster 1052,1
1053,Cluster 1053,1
1054,Cluster 1054,1
1055,Cluster 1055,269
1056,Cluster 1056,269
1057,Cluster 1057,269
1058,Cluster 1058,20
1059,Cluster 1059,3
1060,Cluster 1060,5
1061,Cluster 1061,8
1062,Cluster 1062,4
1063,Cluster 1063,3
1064,Cluster 1064,1
1065,Cluster 1065,1
1066,Cluster 1066,88
1067,Cluster 1067,269
1068,Cluster 1068,269
1069,Cluster 1069,14
1070,Cluster 1070,1
1071,Cluster 1071,5
1072,Cluster 1072,1
1073,Cluster 1073,1
1074,Cluster 1074,1
1075,Cluster 1075,268
1076,Cluster 1076,268
1077,Cluster 1077,269
1078,Cluster 1078,269
1079,Cluster 1079,34
1080,Cluster 1080,5
1081,Cluster 1081,16
1082,Cluster 1082,262
1083,Cluster 1083,1
1084,Cluster 1084,9
1085,Cluster 1085,2
1086,Cluster 1086,7
1087,Cluster 1087,268
1088,Cluster 1088,245
1089,Cluster 1089,67
1090,Cluster 1090,117
1091,Cluster 1091,2
1092,Cluster 1092,7
1093,Cluster 1093,14
1094,Cluster 1094,1
1095,Cluster 1095,1
1096,Cluster 1096,269
1097,Cluster 1097,269
1098,Cluster 1098,269
1099,Cluster 1099,18
1100,Cluster 1100,11
1101,Cluster 1101,60
1102,Cluster 1102,1
1103,Cluster 1103,239
1104,Cluster 1104,269
1105,Cluster 1105,15
1106,Cluster 1106,30
1107,Cluster 1107,200
1108,Cluster 1108,5
1109,Cluster 1109,5
1110,Cluster 1110,25
1111,Cluster 1111,17
1112,Cluster 1112,2
1113,Cluster 1113,269
1114,Cluster 1114,269
1115,Cluster 1115,269
1116,Cluster 1116,269
1117,Cluster 1117,268
1118,Cluster 1118,8
1119,Cluster 1119,41
1120,Cluster 1120,1
1121,Cluster 1121,2
1122,Cluster 1122,21
1123,Cluster 1123,2
1124,Cluster 1124,1
1125,Cluster 1125,269
1126,Cluster 1126,253
1127,Cluster 1127,269
1128,Cluster 1128,269
1129,Cluster 1129,17
1130,Cluster 1130,1
1131,Cluster 1131,269
1132,Cluster 1132,268
1133,Cluster 1133,269
1134,Cluster 1134,9
1135,Cluster 1135,31
1136,Cluster 1136,6
1137,Cluster 1137,5
1138,Cluster 1138,8
1139,Cluster 1139,1
1140,Cluster 1140,11
1141,Cluster 1141,112
1142,Cluster 1142,268
1143,Cluster 1143,269
1144,Cluster 1144,1
1145,Cluster 1145,22
1146,Cluster 1146,183
1147,Cluster 1147,156
1148,Cluster 1148,110
1149,Cluster 1149,10
1150,Cluster 1150,15
1151,Cluster 1151,1
1152,Cluster 1152,7
1153,Cluster 1153,30
1154,Cluster 1154,1
1155,Cluster 1155,2
1156,Cluster 1156,1
1157,Cluster 1157,268
1158,Cluster 1158,266
1159,Cluster 1159,269
1160,Cluster 1160,268
1161,Cluster 1161,242
1162,Cluster 1162,29
1163,Cluster 1163,269
1164,Cluster 1164,3
1165,Cluster 1165,1
1166,Cluster 1166,10
1167,Cluster 1167,4
1168,Cluster 1168,269
1169,Cluster 1169,1
1170,Cluster 1170,1
1171,Cluster 1171,268
1172,Cluster 1172,1
1173,Cluster 1173,269
1174,Cluster 1174,269
1175,Cluster 1175,13
1176,Cluster 1176,3
1177,Cluster 1177,1
1178,Cluster 1178,2
1179,Cluster 1179,19
1180,Cluster 1180,243
1181,Cluster 1181,268
1182,Cluster 1182,268
1183,Cluster 1183,1
1184,Cluster 1184,4
1185,Cluster 1185,22
1186,Cluster 1186,260
1187,Cluster 1187,269
1188,Cluster 1188,269
1189,Cluster 1189,269
1190,Cluster 1190,2
1191,Cluster 1191,113
1192,Cluster 1192,1
1193,Cluster 1193,2
1194,Cluster 1194,5
1195,Cluster 1195,1
1196,Cluster 1196,2
1197,Cluster 1197,269
1198,Cluster 1198,10
1199,Cluster 1199,2
1200,Cluster 1200,269
1201,Cluster 1201,269
1202,Cluster 1202,1
1203,Cluster 1203,9
1204,Cluster 1204,1
1205,Cluster 1205,269
1206,Cluster 1206,10
1207,Cluster 1207,6
1208,Cluster 1208,2
1209,Cluster 1209,9
1210,Cluster 1210,3
1211,Cluster 1211,269
1212,Cluster 1212,269
1213,Cluster 1213,269
1214,Cluster 1214,263
1215,Cluster 1215,140
1216,Cluster 1216,269
1217,Cluster 1217,269
1218,Cluster 1218,6
1219,Cluster 1219,83
1220,Cluster 1220,3
1221,Cluster 1221,2
1222,Cluster 1222,269
1223,Cluster 1223,239
1224,Cluster 1224,269
1225,Cluster 1225,111
1226,Cluster 1226,2
1227,Cluster 1227,3
1228,Cluster 1228,268
