, ,Number of genomes,gene_class
194,Cluster 194,1,unique
195,Cluster 195,1,unique
196,Cluster 196,4,unique
197,Cluster 197,36,unique
198,Cluster 198,2,unique
199,Cluster 199,1,unique
200,Cluster 200,66,unique
201,Cluster 201,3,unique
202,Cluster 202,2,unique
203,Cluster 203,67,unique
204,Cluster 204,1,unique
205,Cluster 205,4,unique
206,Cluster 206,1,unique
207,Cluster 207,21,unique
208,Cluster 208,2,unique
209,Cluster 209,1,unique
210,Cluster 210,3,unique
211,Cluster 211,1,unique
212,Cluster 212,2,unique
213,Cluster 213,5,unique
214,Cluster 214,14,unique
215,Cluster 215,1,unique
216,Cluster 216,2,unique
217,Cluster 217,8,unique
218,Cluster 218,139,accessory
219,Cluster 219,1,unique
220,Cluster 220,1,unique
221,Cluster 221,2,unique
222,Cluster 222,2,unique
223,Cluster 223,236,accessory
224,Cluster 224,3,unique
225,Cluster 225,4,unique
226,Cluster 226,4,unique
227,Cluster 227,331,accessory
228,Cluster 228,1,unique
229,Cluster 229,604,accessory
230,Cluster 230,16,unique
231,Cluster 231,6,unique
232,Cluster 232,4,unique
233,Cluster 233,1,unique
234,Cluster 234,2,unique
235,Cluster 235,2,unique
236,Cluster 236,1,unique
237,Cluster 237,2,unique
238,Cluster 238,4,unique
239,Cluster 239,14,unique
240,Cluster 240,1,unique
241,Cluster 241,10,unique
242,Cluster 242,675,accessory
243,Cluster 243,2,unique
244,Cluster 244,148,accessory
245,Cluster 245,76,unique
246,Cluster 246,2,unique
247,Cluster 247,1,unique
248,Cluster 248,40,unique
249,Cluster 249,2,unique
250,Cluster 250,1,unique
251,Cluster 251,27,unique
252,Cluster 252,2,unique
253,Cluster 253,100,unique
254,Cluster 254,1,unique
255,Cluster 255,2,unique
256,Cluster 256,44,unique
257,Cluster 257,15,unique
258,Cluster 258,1,unique
259,Cluster 259,3,unique
260,Cluster 260,3,unique
261,Cluster 261,372,accessory
262,Cluster 262,5,unique
263,Cluster 263,2,unique
264,Cluster 264,1,unique
265,Cluster 265,3,unique
266,Cluster 266,1,unique
267,Cluster 267,27,unique
268,Cluster 268,1,unique
269,Cluster 269,5,unique
270,Cluster 270,6,unique
271,Cluster 271,130,accessory
272,Cluster 272,2,unique
273,Cluster 273,271,accessory
274,Cluster 274,1318,core
275,Cluster 275,1292,accessory
276,Cluster 276,8,unique
277,Cluster 277,1,unique
278,Cluster 278,4,unique
279,Cluster 279,3,unique
280,Cluster 280,1,unique
281,Cluster 281,1,unique
282,Cluster 282,44,unique
283,Cluster 283,1325,core
284,Cluster 284,5,unique
285,Cluster 285,1,unique
286,Cluster 286,1,unique
287,Cluster 287,2,unique
288,Cluster 288,18,unique
289,Cluster 289,4,unique
290,Cluster 290,8,unique
291,Cluster 291,2,unique
292,Cluster 292,32,unique
293,Cluster 293,3,unique
294,Cluster 294,4,unique
295,Cluster 295,42,unique
296,Cluster 296,1,unique
297,Cluster 297,27,unique
298,Cluster 298,1,unique
299,Cluster 299,1,unique
300,Cluster 300,61,unique
301,Cluster 301,1,unique
302,Cluster 302,7,unique
303,Cluster 303,56,unique
304,Cluster 304,1,unique
305,Cluster 305,1,unique
306,Cluster 306,140,accessory
307,Cluster 307,1,unique
308,Cluster 308,2,unique
309,Cluster 309,2,unique
310,Cluster 310,30,unique
311,Cluster 311,196,accessory
312,Cluster 312,52,unique
313,Cluster 313,4,unique
314,Cluster 314,10,unique
315,Cluster 315,2,unique
316,Cluster 316,2,unique
317,Cluster 317,10,unique
318,Cluster 318,1,unique
319,Cluster 319,17,unique
320,Cluster 320,16,unique
321,Cluster 321,2,unique
322,Cluster 322,2,unique
323,Cluster 323,1,unique
324,Cluster 324,2,unique
325,Cluster 325,1,unique
326,Cluster 326,2,unique
327,Cluster 327,7,unique
328,Cluster 328,1,unique
329,Cluster 329,1,unique
330,Cluster 330,1326,core
331,Cluster 331,2,unique
332,Cluster 332,3,unique
333,Cluster 333,22,unique
334,Cluster 334,2,unique
335,Cluster 335,2,unique
336,Cluster 336,1,unique
337,Cluster 337,1,unique
338,Cluster 338,1,unique
339,Cluster 339,40,unique
340,Cluster 340,1,unique
341,Cluster 341,24,unique
342,Cluster 342,2,unique
343,Cluster 343,7,unique
344,Cluster 344,6,unique
345,Cluster 345,1326,core
346,Cluster 346,1,unique
347,Cluster 347,26,unique
348,Cluster 348,5,unique
349,Cluster 349,43,unique
350,Cluster 350,9,unique
351,Cluster 351,3,unique
352,Cluster 352,1298,accessory
353,Cluster 353,1,unique
354,Cluster 354,11,unique
355,Cluster 355,7,unique
356,Cluster 356,5,unique
357,Cluster 357,1,unique
358,Cluster 358,4,unique
359,Cluster 359,1,unique
360,Cluster 360,5,unique
361,Cluster 361,1,unique
362,Cluster 362,1,unique
363,Cluster 363,2,unique
364,Cluster 364,23,unique
365,Cluster 365,2,unique
366,Cluster 366,267,accessory
367,Cluster 367,9,unique
368,Cluster 368,2,unique
369,Cluster 369,7,unique
370,Cluster 370,4,unique
371,Cluster 371,5,unique
372,Cluster 372,841,accessory
373,Cluster 373,5,unique
374,Cluster 374,3,unique
375,Cluster 375,3,unique
376,Cluster 376,13,unique
377,Cluster 377,1,unique
378,Cluster 378,2,unique
379,Cluster 379,2,unique
380,Cluster 380,5,unique
381,Cluster 381,168,accessory
382,Cluster 382,8,unique
383,Cluster 383,2,unique
384,Cluster 384,1324,core
385,Cluster 385,3,unique
386,Cluster 386,1256,accessory
387,Cluster 387,6,unique
388,Cluster 388,3,unique
389,Cluster 389,2,unique
390,Cluster 390,1326,core
391,Cluster 391,5,unique
392,Cluster 392,179,accessory
393,Cluster 393,1,unique
394,Cluster 394,1,unique
395,Cluster 395,1090,accessory
396,Cluster 396,1,unique
397,Cluster 397,2,unique
398,Cluster 398,2,unique
399,Cluster 399,12,unique
400,Cluster 400,3,unique
401,Cluster 401,4,unique
402,Cluster 402,1,unique
403,Cluster 403,7,unique
404,Cluster 404,10,unique
405,Cluster 405,2,unique
406,Cluster 406,3,unique
407,Cluster 407,1,unique
408,Cluster 408,1322,core
409,Cluster 409,1,unique
410,Cluster 410,4,unique
411,Cluster 411,4,unique
412,Cluster 412,1074,accessory
413,Cluster 413,22,unique
414,Cluster 414,4,unique
415,Cluster 415,4,unique
416,Cluster 416,2,unique
417,Cluster 417,94,unique
418,Cluster 418,3,unique
419,Cluster 419,8,unique
