, ,Number of genomes,gene_class
2670,Cluster 2670,4,unique
2671,Cluster 2671,1,unique
2672,Cluster 2672,1325,core
2673,Cluster 2673,1,unique
2674,Cluster 2674,30,unique
2675,Cluster 2675,2,unique
2676,Cluster 2676,4,unique
2677,Cluster 2677,3,unique
2678,Cluster 2678,9,unique
2679,Cluster 2679,244,accessory
2680,Cluster 2680,2,unique
2681,Cluster 2681,1,unique
2682,Cluster 2682,1320,core
2683,Cluster 2683,1,unique
2684,Cluster 2684,1,unique
2685,Cluster 2685,1,unique
2686,Cluster 2686,8,unique
2687,Cluster 2687,246,accessory
2688,Cluster 2688,10,unique
2689,Cluster 2689,2,unique
2690,Cluster 2690,5,unique
2691,Cluster 2691,2,unique
2692,Cluster 2692,1,unique
2693,Cluster 2693,1,unique
2694,Cluster 2694,335,accessory
2695,Cluster 2695,1,unique
2696,Cluster 2696,6,unique
2697,Cluster 2697,7,unique
2698,Cluster 2698,15,unique
2699,Cluster 2699,7,unique
2700,Cluster 2700,1,unique
2701,Cluster 2701,1,unique
2702,Cluster 2702,1,unique
2703,Cluster 2703,4,unique
2704,Cluster 2704,12,unique
2705,Cluster 2705,1,unique
2706,Cluster 2706,8,unique
2707,Cluster 2707,1,unique
2708,Cluster 2708,1297,accessory
2709,Cluster 2709,1327,core
2710,Cluster 2710,18,unique
2711,Cluster 2711,2,unique
2712,Cluster 2712,8,unique
2713,Cluster 2713,823,accessory
2714,Cluster 2714,2,unique
2715,Cluster 2715,9,unique
2716,Cluster 2716,29,unique
2717,Cluster 2717,1,unique
2718,Cluster 2718,2,unique
2719,Cluster 2719,1,unique
2720,Cluster 2720,1327,core
2721,Cluster 2721,83,unique
2722,Cluster 2722,30,unique
2723,Cluster 2723,1,unique
2724,Cluster 2724,70,unique
2725,Cluster 2725,1,unique
2726,Cluster 2726,160,accessory
2727,Cluster 2727,2,unique
2728,Cluster 2728,123,accessory
2729,Cluster 2729,1,unique
2730,Cluster 2730,2,unique
2731,Cluster 2731,1,unique
2732,Cluster 2732,1,unique
2733,Cluster 2733,1320,core
2734,Cluster 2734,562,accessory
2735,Cluster 2735,4,unique
2736,Cluster 2736,1,unique
2737,Cluster 2737,2,unique
2738,Cluster 2738,1322,core
2739,Cluster 2739,2,unique
2740,Cluster 2740,3,unique
2741,Cluster 2741,1,unique
2742,Cluster 2742,6,unique
2743,Cluster 2743,2,unique
2744,Cluster 2744,2,unique
2745,Cluster 2745,2,unique
2746,Cluster 2746,2,unique
2747,Cluster 2747,552,accessory
2748,Cluster 2748,1,unique
2749,Cluster 2749,714,accessory
2750,Cluster 2750,743,accessory
2751,Cluster 2751,259,accessory
2752,Cluster 2752,211,accessory
2753,Cluster 2753,4,unique
2754,Cluster 2754,3,unique
2755,Cluster 2755,17,unique
2756,Cluster 2756,4,unique
2757,Cluster 2757,1327,core
2758,Cluster 2758,8,unique
2759,Cluster 2759,484,accessory
2760,Cluster 2760,3,unique
2761,Cluster 2761,2,unique
2762,Cluster 2762,8,unique
2763,Cluster 2763,1,unique
2764,Cluster 2764,9,unique
2765,Cluster 2765,2,unique
2766,Cluster 2766,9,unique
2767,Cluster 2767,1,unique
2768,Cluster 2768,6,unique
2769,Cluster 2769,1,unique
2770,Cluster 2770,4,unique
2771,Cluster 2771,1,unique
2772,Cluster 2772,9,unique
2773,Cluster 2773,1313,core
2774,Cluster 2774,1,unique
2775,Cluster 2775,2,unique
2776,Cluster 2776,1327,core
2777,Cluster 2777,1326,core
2778,Cluster 2778,32,unique
2779,Cluster 2779,2,unique
2780,Cluster 2780,2,unique
2781,Cluster 2781,5,unique
2782,Cluster 2782,2,unique
2783,Cluster 2783,2,unique
2784,Cluster 2784,5,unique
2785,Cluster 2785,2,unique
2786,Cluster 2786,4,unique
2787,Cluster 2787,16,unique
2788,Cluster 2788,620,accessory
2789,Cluster 2789,27,unique
2790,Cluster 2790,96,unique
2791,Cluster 2791,6,unique
2792,Cluster 2792,4,unique
2793,Cluster 2793,7,unique
2794,Cluster 2794,226,accessory
2795,Cluster 2795,2,unique
2796,Cluster 2796,15,unique
2797,Cluster 2797,12,unique
2798,Cluster 2798,1,unique
2799,Cluster 2799,9,unique
2800,Cluster 2800,2,unique
2801,Cluster 2801,2,unique
2802,Cluster 2802,2,unique
2803,Cluster 2803,2,unique
2804,Cluster 2804,16,unique
2805,Cluster 2805,1,unique
2806,Cluster 2806,4,unique
2807,Cluster 2807,1311,core
2808,Cluster 2808,9,unique
2809,Cluster 2809,600,accessory
2810,Cluster 2810,1281,accessory
2811,Cluster 2811,1,unique
2812,Cluster 2812,4,unique
2813,Cluster 2813,1,unique
2814,Cluster 2814,9,unique
2815,Cluster 2815,2,unique
2816,Cluster 2816,2,unique
2817,Cluster 2817,1,unique
2818,Cluster 2818,3,unique
2819,Cluster 2819,1318,core
2820,Cluster 2820,528,accessory
2821,Cluster 2821,1,unique
2822,Cluster 2822,122,accessory
2823,Cluster 2823,1,unique
2824,Cluster 2824,4,unique
2825,Cluster 2825,1,unique
2826,Cluster 2826,4,unique
2827,Cluster 2827,1205,accessory
2828,Cluster 2828,3,unique
2829,Cluster 2829,2,unique
2830,Cluster 2830,55,unique
2831,Cluster 2831,2,unique
2832,Cluster 2832,1,unique
2833,Cluster 2833,3,unique
2834,Cluster 2834,1327,core
2835,Cluster 2835,1320,core
2836,Cluster 2836,1,unique
2837,Cluster 2837,1325,core
2838,Cluster 2838,1315,core
2839,Cluster 2839,1324,core
2840,Cluster 2840,6,unique
2841,Cluster 2841,2,unique
2842,Cluster 2842,1303,core
2843,Cluster 2843,1,unique
2844,Cluster 2844,1,unique
2845,Cluster 2845,1,unique
2846,Cluster 2846,1,unique
2847,Cluster 2847,2,unique
2848,Cluster 2848,11,unique
2849,Cluster 2849,4,unique
2850,Cluster 2850,4,unique
2851,Cluster 2851,1,unique
2852,Cluster 2852,3,unique
2853,Cluster 2853,9,unique
2854,Cluster 2854,4,unique
2855,Cluster 2855,3,unique
2856,Cluster 2856,1,unique
2857,Cluster 2857,2,unique
2858,Cluster 2858,3,unique
2859,Cluster 2859,1,unique
2860,Cluster 2860,8,unique
2861,Cluster 2861,1319,core
2862,Cluster 2862,1325,core
2863,Cluster 2863,83,unique
2864,Cluster 2864,2,unique
2865,Cluster 2865,1314,core
2866,Cluster 2866,8,unique
2867,Cluster 2867,56,unique
2868,Cluster 2868,2,unique
2869,Cluster 2869,2,unique
2870,Cluster 2870,4,unique
2871,Cluster 2871,2,unique
2872,Cluster 2872,1,unique
2873,Cluster 2873,1313,core
2874,Cluster 2874,1310,core
2875,Cluster 2875,236,accessory
2876,Cluster 2876,60,unique
2877,Cluster 2877,1,unique
2878,Cluster 2878,4,unique
2879,Cluster 2879,4,unique
2880,Cluster 2880,4,unique
2881,Cluster 2881,2,unique
2882,Cluster 2882,1,unique
2883,Cluster 2883,2,unique
2884,Cluster 2884,2,unique
2885,Cluster 2885,1,unique
2886,Cluster 2886,3,unique
2887,Cluster 2887,1326,core
2888,Cluster 2888,4,unique
2889,Cluster 2889,2,unique
2890,Cluster 2890,3,unique
2891,Cluster 2891,1,unique
2892,Cluster 2892,27,unique
2893,Cluster 2893,1,unique
2894,Cluster 2894,6,unique
2895,Cluster 2895,1,unique
2896,Cluster 2896,1325,core
2897,Cluster 2897,531,accessory
2898,Cluster 2898,2,unique
2899,Cluster 2899,1309,core
2900,Cluster 2900,4,unique
2901,Cluster 2901,3,unique
2902,Cluster 2902,3,unique
2903,Cluster 2903,1,unique
2904,Cluster 2904,86,unique
2905,Cluster 2905,139,accessory
2906,Cluster 2906,4,unique
2907,Cluster 2907,1324,core
2908,Cluster 2908,1,unique
2909,Cluster 2909,2,unique
2910,Cluster 2910,1308,core
2911,Cluster 2911,1,unique
2912,Cluster 2912,3,unique
2913,Cluster 2913,1,unique
2914,Cluster 2914,1317,core
2915,Cluster 2915,7,unique
2916,Cluster 2916,4,unique
2917,Cluster 2917,4,unique
2918,Cluster 2918,3,unique
2919,Cluster 2919,5,unique
2920,Cluster 2920,4,unique
2921,Cluster 2921,1,unique
2922,Cluster 2922,4,unique
2923,Cluster 2923,2,unique
2924,Cluster 2924,1,unique
2925,Cluster 2925,1327,core
2926,Cluster 2926,1322,core
2927,Cluster 2927,3,unique
2928,Cluster 2928,2,unique
2929,Cluster 2929,15,unique
2930,Cluster 2930,15,unique
2931,Cluster 2931,1,unique
2932,Cluster 2932,298,accessory
2933,Cluster 2933,6,unique
2934,Cluster 2934,11,unique
2935,Cluster 2935,702,accessory
2936,Cluster 2936,2,unique
2937,Cluster 2937,1,unique
2938,Cluster 2938,1,unique
2939,Cluster 2939,1321,core
2940,Cluster 2940,4,unique
2941,Cluster 2941,5,unique
2942,Cluster 2942,4,unique
2943,Cluster 2943,1,unique
2944,Cluster 2944,1,unique
2945,Cluster 2945,78,unique
2946,Cluster 2946,1326,core
2947,Cluster 2947,6,unique
2948,Cluster 2948,10,unique
2949,Cluster 2949,4,unique
2950,Cluster 2950,29,unique
2951,Cluster 2951,1,unique
2952,Cluster 2952,2,unique
2953,Cluster 2953,1,unique
2954,Cluster 2954,2,unique
2955,Cluster 2955,1303,core
2956,Cluster 2956,1,unique
2957,Cluster 2957,1,unique
2958,Cluster 2958,8,unique
2959,Cluster 2959,24,unique
2960,Cluster 2960,24,unique
2961,Cluster 2961,3,unique
2962,Cluster 2962,6,unique
2963,Cluster 2963,2,unique
2964,Cluster 2964,1,unique
2965,Cluster 2965,3,unique
2966,Cluster 2966,1327,core
2967,Cluster 2967,1290,accessory
2968,Cluster 2968,13,unique
2969,Cluster 2969,1,unique
2970,Cluster 2970,13,unique
2971,Cluster 2971,4,unique
2972,Cluster 2972,4,unique
2973,Cluster 2973,2,unique
2974,Cluster 2974,4,unique
2975,Cluster 2975,1,unique
2976,Cluster 2976,8,unique
2977,Cluster 2977,1,unique
2978,Cluster 2978,1314,core
2979,Cluster 2979,1,unique
2980,Cluster 2980,9,unique
2981,Cluster 2981,59,unique
2982,Cluster 2982,11,unique
2983,Cluster 2983,4,unique
2984,Cluster 2984,24,unique
2985,Cluster 2985,1,unique
2986,Cluster 2986,1,unique
2987,Cluster 2987,2,unique
2988,Cluster 2988,2,unique
2989,Cluster 2989,1,unique
2990,Cluster 2990,3,unique
2991,Cluster 2991,10,unique
2992,Cluster 2992,9,unique
2993,Cluster 2993,3,unique
2994,Cluster 2994,1,unique
2995,Cluster 2995,13,unique
2996,Cluster 2996,2,unique
2997,Cluster 2997,3,unique
2998,Cluster 2998,11,unique
2999,Cluster 2999,1326,core
3000,Cluster 3000,236,accessory
3001,Cluster 3001,7,unique
3002,Cluster 3002,4,unique
3003,Cluster 3003,1,unique
3004,Cluster 3004,8,unique
3005,Cluster 3005,1310,core
3006,Cluster 3006,186,accessory
3007,Cluster 3007,2,unique
3008,Cluster 3008,56,unique
3009,Cluster 3009,77,unique
3010,Cluster 3010,2,unique
3011,Cluster 3011,4,unique
3012,Cluster 3012,3,unique
3013,Cluster 3013,8,unique
3014,Cluster 3014,2,unique
3015,Cluster 3015,6,unique
3016,Cluster 3016,1,unique
3017,Cluster 3017,1,unique
3018,Cluster 3018,25,unique
3019,Cluster 3019,20,unique
3020,Cluster 3020,1,unique
3021,Cluster 3021,1326,core
3022,Cluster 3022,1,unique
3023,Cluster 3023,1,unique
3024,Cluster 3024,4,unique
3025,Cluster 3025,27,unique
3026,Cluster 3026,1305,core
3027,Cluster 3027,3,unique
3028,Cluster 3028,1,unique
3029,Cluster 3029,1,unique
3030,Cluster 3030,4,unique
3031,Cluster 3031,1313,core
3032,Cluster 3032,42,unique
3033,Cluster 3033,3,unique
3034,Cluster 3034,40,unique
3035,Cluster 3035,1,unique
3036,Cluster 3036,1,unique
3037,Cluster 3037,1,unique
3038,Cluster 3038,2,unique
3039,Cluster 3039,2,unique
3040,Cluster 3040,2,unique
3041,Cluster 3041,4,unique
3042,Cluster 3042,1326,core
3043,Cluster 3043,1326,core
3044,Cluster 3044,1,unique
3045,Cluster 3045,2,unique
3046,Cluster 3046,6,unique
3047,Cluster 3047,8,unique
3048,Cluster 3048,1077,accessory
3049,Cluster 3049,13,unique
3050,Cluster 3050,1,unique
3051,Cluster 3051,1316,core
3052,Cluster 3052,1,unique
3053,Cluster 3053,1298,accessory
3054,Cluster 3054,21,unique
3055,Cluster 3055,2,unique
3056,Cluster 3056,1,unique
3057,Cluster 3057,1,unique
3058,Cluster 3058,11,unique
3059,Cluster 3059,3,unique
3060,Cluster 3060,1,unique
3061,Cluster 3061,1327,core
3062,Cluster 3062,1290,accessory
3063,Cluster 3063,1181,accessory
3064,Cluster 3064,749,accessory
3065,Cluster 3065,1,unique
3066,Cluster 3066,1,unique
3067,Cluster 3067,1,unique
3068,Cluster 3068,1,unique
3069,Cluster 3069,3,unique
3070,Cluster 3070,3,unique
3071,Cluster 3071,47,unique
3072,Cluster 3072,3,unique
3073,Cluster 3073,1,unique
3074,Cluster 3074,2,unique
3075,Cluster 3075,1,unique
3076,Cluster 3076,3,unique
3077,Cluster 3077,68,unique
3078,Cluster 3078,4,unique
3079,Cluster 3079,2,unique
3080,Cluster 3080,1,unique
3081,Cluster 3081,4,unique
3082,Cluster 3082,4,unique
3083,Cluster 3083,3,unique
3084,Cluster 3084,6,unique
3085,Cluster 3085,1234,accessory
3086,Cluster 3086,196,accessory
3087,Cluster 3087,2,unique
3088,Cluster 3088,1,unique
3089,Cluster 3089,2,unique
3090,Cluster 3090,1,unique
3091,Cluster 3091,1,unique
3092,Cluster 3092,1323,core
3093,Cluster 3093,1246,accessory
3094,Cluster 3094,4,unique
3095,Cluster 3095,4,unique
3096,Cluster 3096,1,unique
3097,Cluster 3097,1,unique
3098,Cluster 3098,97,unique
3099,Cluster 3099,4,unique
3100,Cluster 3100,1,unique
3101,Cluster 3101,3,unique
3102,Cluster 3102,1,unique
3103,Cluster 3103,49,unique
3104,Cluster 3104,70,unique
3105,Cluster 3105,12,unique
3106,Cluster 3106,1,unique
3107,Cluster 3107,5,unique
3108,Cluster 3108,1,unique
3109,Cluster 3109,3,unique
3110,Cluster 3110,2,unique
3111,Cluster 3111,130,accessory
3112,Cluster 3112,2,unique
3113,Cluster 3113,1,unique
3114,Cluster 3114,1233,accessory
3115,Cluster 3115,1,unique
3116,Cluster 3116,4,unique
3117,Cluster 3117,3,unique
3118,Cluster 3118,12,unique
3119,Cluster 3119,4,unique
3120,Cluster 3120,3,unique
3121,Cluster 3121,2,unique
3122,Cluster 3122,2,unique
3123,Cluster 3123,3,unique
3124,Cluster 3124,1088,accessory
3125,Cluster 3125,4,unique
3126,Cluster 3126,1325,core
3127,Cluster 3127,1326,core
3128,Cluster 3128,1316,core
3129,Cluster 3129,1297,accessory
3130,Cluster 3130,1321,core
3131,Cluster 3131,4,unique
3132,Cluster 3132,23,unique
3133,Cluster 3133,2,unique
3134,Cluster 3134,1,unique
3135,Cluster 3135,1,unique
3136,Cluster 3136,11,unique
3137,Cluster 3137,5,unique
3138,Cluster 3138,16,unique
3139,Cluster 3139,1322,core
3140,Cluster 3140,20,unique
3141,Cluster 3141,3,unique
3142,Cluster 3142,6,unique
3143,Cluster 3143,731,accessory
3144,Cluster 3144,1,unique
3145,Cluster 3145,1321,core
3146,Cluster 3146,52,unique
3147,Cluster 3147,1318,core
3148,Cluster 3148,3,unique
3149,Cluster 3149,1,unique
3150,Cluster 3150,1,unique
3151,Cluster 3151,1,unique
3152,Cluster 3152,1,unique
3153,Cluster 3153,5,unique
3154,Cluster 3154,3,unique
3155,Cluster 3155,97,unique
3156,Cluster 3156,1,unique
3157,Cluster 3157,1,unique
3158,Cluster 3158,1326,core
3159,Cluster 3159,166,accessory
3160,Cluster 3160,11,unique
3161,Cluster 3161,4,unique
3162,Cluster 3162,4,unique
3163,Cluster 3163,3,unique
3164,Cluster 3164,2,unique
3165,Cluster 3165,25,unique
3166,Cluster 3166,2,unique
3167,Cluster 3167,1312,core
3168,Cluster 3168,4,unique
3169,Cluster 3169,2,unique
3170,Cluster 3170,5,unique
3171,Cluster 3171,4,unique
3172,Cluster 3172,2,unique
3173,Cluster 3173,1,unique
3174,Cluster 3174,1,unique
3175,Cluster 3175,2,unique
3176,Cluster 3176,127,accessory
3177,Cluster 3177,1,unique
3178,Cluster 3178,3,unique
3179,Cluster 3179,381,accessory
3180,Cluster 3180,1,unique
3181,Cluster 3181,1311,core
3182,Cluster 3182,2,unique
3183,Cluster 3183,2,unique
3184,Cluster 3184,1,unique
3185,Cluster 3185,41,unique
3186,Cluster 3186,1312,core
3187,Cluster 3187,1295,accessory
3188,Cluster 3188,3,unique
3189,Cluster 3189,1,unique
3190,Cluster 3190,1,unique
3191,Cluster 3191,1316,core
3192,Cluster 3192,1294,accessory
3193,Cluster 3193,1319,core
3194,Cluster 3194,1326,core
3195,Cluster 3195,747,accessory
3196,Cluster 3196,1,unique
3197,Cluster 3197,1,unique
3198,Cluster 3198,1,unique
3199,Cluster 3199,11,unique
3200,Cluster 3200,10,unique
3201,Cluster 3201,1,unique
3202,Cluster 3202,2,unique
3203,Cluster 3203,2,unique
3204,Cluster 3204,1326,core
3205,Cluster 3205,1327,core
3206,Cluster 3206,2,unique
3207,Cluster 3207,3,unique
3208,Cluster 3208,7,unique
3209,Cluster 3209,9,unique
3210,Cluster 3210,1,unique
3211,Cluster 3211,2,unique
3212,Cluster 3212,2,unique
3213,Cluster 3213,1,unique
3214,Cluster 3214,1327,core
3215,Cluster 3215,1327,core
3216,Cluster 3216,768,accessory
3217,Cluster 3217,144,accessory
3218,Cluster 3218,5,unique
3219,Cluster 3219,3,unique
3220,Cluster 3220,30,unique
3221,Cluster 3221,1,unique
3222,Cluster 3222,2,unique
3223,Cluster 3223,2,unique
3224,Cluster 3224,28,unique
3225,Cluster 3225,2,unique
3226,Cluster 3226,1,unique
3227,Cluster 3227,35,unique
3228,Cluster 3228,10,unique
3229,Cluster 3229,1,unique
3230,Cluster 3230,1,unique
3231,Cluster 3231,1255,accessory
3232,Cluster 3232,1327,core
3233,Cluster 3233,392,accessory
3234,Cluster 3234,17,unique
3235,Cluster 3235,4,unique
3236,Cluster 3236,1,unique
3237,Cluster 3237,1,unique
3238,Cluster 3238,1320,core
3239,Cluster 3239,1313,core
3240,Cluster 3240,14,unique
3241,Cluster 3241,620,accessory
3242,Cluster 3242,2,unique
3243,Cluster 3243,108,accessory
3244,Cluster 3244,23,unique
3245,Cluster 3245,1,unique
3246,Cluster 3246,2,unique
3247,Cluster 3247,10,unique
3248,Cluster 3248,6,unique
3249,Cluster 3249,1,unique
3250,Cluster 3250,1,unique
3251,Cluster 3251,1326,core
3252,Cluster 3252,157,accessory
3253,Cluster 3253,122,accessory
3254,Cluster 3254,2,unique
3255,Cluster 3255,1,unique
3256,Cluster 3256,1,unique
3257,Cluster 3257,1202,accessory
3258,Cluster 3258,5,unique
3259,Cluster 3259,2,unique
3260,Cluster 3260,12,unique
3261,Cluster 3261,1,unique
3262,Cluster 3262,9,unique
3263,Cluster 3263,7,unique
3264,Cluster 3264,6,unique
3265,Cluster 3265,1,unique
3266,Cluster 3266,1,unique
3267,Cluster 3267,9,unique
3268,Cluster 3268,1326,core
3269,Cluster 3269,1,unique
3270,Cluster 3270,1,unique
3271,Cluster 3271,2,unique
3272,Cluster 3272,2,unique
3273,Cluster 3273,1,unique
3274,Cluster 3274,1,unique
3275,Cluster 3275,140,accessory
3276,Cluster 3276,2,unique
3277,Cluster 3277,4,unique
3278,Cluster 3278,1,unique
3279,Cluster 3279,2,unique
3280,Cluster 3280,1,unique
3281,Cluster 3281,1327,core
3282,Cluster 3282,261,accessory
3283,Cluster 3283,436,accessory
3284,Cluster 3284,78,unique
3285,Cluster 3285,3,unique
3286,Cluster 3286,433,accessory
3287,Cluster 3287,1325,core
3288,Cluster 3288,8,unique
3289,Cluster 3289,2,unique
3290,Cluster 3290,3,unique
3291,Cluster 3291,1,unique
3292,Cluster 3292,1285,accessory
3293,Cluster 3293,1279,accessory
3294,Cluster 3294,251,accessory
3295,Cluster 3295,3,unique
3296,Cluster 3296,4,unique
3297,Cluster 3297,2,unique
3298,Cluster 3298,2,unique
3299,Cluster 3299,14,unique
3300,Cluster 3300,4,unique
3301,Cluster 3301,1297,accessory
3302,Cluster 3302,1,unique
3303,Cluster 3303,170,accessory
3304,Cluster 3304,170,accessory
3305,Cluster 3305,6,unique
3306,Cluster 3306,4,unique
3307,Cluster 3307,9,unique
3308,Cluster 3308,1,unique
3309,Cluster 3309,1,unique
3310,Cluster 3310,1326,core
3311,Cluster 3311,516,accessory
3312,Cluster 3312,1,unique
3313,Cluster 3313,4,unique
3314,Cluster 3314,4,unique
3315,Cluster 3315,14,unique
3316,Cluster 3316,9,unique
3317,Cluster 3317,3,unique
3318,Cluster 3318,1,unique
3319,Cluster 3319,3,unique
3320,Cluster 3320,1314,core
3321,Cluster 3321,16,unique
3322,Cluster 3322,1321,core
3323,Cluster 3323,54,unique
3324,Cluster 3324,30,unique
3325,Cluster 3325,1,unique
3326,Cluster 3326,2,unique
3327,Cluster 3327,1325,core
3328,Cluster 3328,1,unique
3329,Cluster 3329,1,unique
3330,Cluster 3330,2,unique
3331,Cluster 3331,94,unique
3332,Cluster 3332,1,unique
3333,Cluster 3333,22,unique
3334,Cluster 3334,1,unique
3335,Cluster 3335,10,unique
3336,Cluster 3336,11,unique
3337,Cluster 3337,1324,core
3338,Cluster 3338,1291,accessory
3339,Cluster 3339,4,unique
3340,Cluster 3340,18,unique
3341,Cluster 3341,29,unique
3342,Cluster 3342,6,unique
3343,Cluster 3343,3,unique
3344,Cluster 3344,2,unique
3345,Cluster 3345,2,unique
3346,Cluster 3346,3,unique
3347,Cluster 3347,1,unique
3348,Cluster 3348,4,unique
3349,Cluster 3349,1,unique
3350,Cluster 3350,2,unique
3351,Cluster 3351,5,unique
3352,Cluster 3352,6,unique
3353,Cluster 3353,1,unique
3354,Cluster 3354,3,unique
3355,Cluster 3355,1322,core
3356,Cluster 3356,180,accessory
3357,Cluster 3357,593,accessory
3358,Cluster 3358,3,unique
3359,Cluster 3359,7,unique
3360,Cluster 3360,2,unique
3361,Cluster 3361,1,unique
3362,Cluster 3362,4,unique
3363,Cluster 3363,1,unique
3364,Cluster 3364,4,unique
3365,Cluster 3365,2,unique
3366,Cluster 3366,1,unique
3367,Cluster 3367,2,unique
3368,Cluster 3368,3,unique
3369,Cluster 3369,1,unique
3370,Cluster 3370,1,unique
3371,Cluster 3371,1,unique
3372,Cluster 3372,1327,core
3373,Cluster 3373,1321,core
3374,Cluster 3374,35,unique
3375,Cluster 3375,10,unique
3376,Cluster 3376,13,unique
3377,Cluster 3377,26,unique
3378,Cluster 3378,4,unique
3379,Cluster 3379,1,unique
3380,Cluster 3380,4,unique
3381,Cluster 3381,57,unique
3382,Cluster 3382,3,unique
3383,Cluster 3383,4,unique
3384,Cluster 3384,1,unique
3385,Cluster 3385,71,unique
3386,Cluster 3386,1,unique
3387,Cluster 3387,49,unique
3388,Cluster 3388,4,unique
3389,Cluster 3389,2,unique
3390,Cluster 3390,1,unique
3391,Cluster 3391,9,unique
3392,Cluster 3392,21,unique
3393,Cluster 3393,92,unique
3394,Cluster 3394,11,unique
3395,Cluster 3395,2,unique
3396,Cluster 3396,1,unique
3397,Cluster 3397,1,unique
3398,Cluster 3398,1,unique
3399,Cluster 3399,1,unique
3400,Cluster 3400,1,unique
3401,Cluster 3401,1326,core
3402,Cluster 3402,267,accessory
3403,Cluster 3403,3,unique
3404,Cluster 3404,10,unique
3405,Cluster 3405,13,unique
3406,Cluster 3406,4,unique
3407,Cluster 3407,1,unique
3408,Cluster 3408,1,unique
3409,Cluster 3409,1,unique
3410,Cluster 3410,1325,core
3411,Cluster 3411,11,unique
3412,Cluster 3412,2,unique
3413,Cluster 3413,2,unique
3414,Cluster 3414,1,unique
3415,Cluster 3415,2,unique
3416,Cluster 3416,1,unique
3417,Cluster 3417,1313,core
3418,Cluster 3418,1322,core
3419,Cluster 3419,357,accessory
3420,Cluster 3420,87,unique
3421,Cluster 3421,116,accessory
3422,Cluster 3422,1,unique
3423,Cluster 3423,2,unique
3424,Cluster 3424,122,accessory
3425,Cluster 3425,3,unique
3426,Cluster 3426,4,unique
3427,Cluster 3427,54,unique
3428,Cluster 3428,1,unique
3429,Cluster 3429,1,unique
3430,Cluster 3430,1327,core
3431,Cluster 3431,577,accessory
3432,Cluster 3432,3,unique
3433,Cluster 3433,108,accessory
3434,Cluster 3434,4,unique
3435,Cluster 3435,122,accessory
3436,Cluster 3436,5,unique
3437,Cluster 3437,1,unique
3438,Cluster 3438,1,unique
3439,Cluster 3439,20,unique
3440,Cluster 3440,1314,core
3441,Cluster 3441,674,accessory
3442,Cluster 3442,1325,core
3443,Cluster 3443,1143,accessory
3444,Cluster 3444,72,unique
3445,Cluster 3445,10,unique
3446,Cluster 3446,1,unique
3447,Cluster 3447,3,unique
3448,Cluster 3448,76,unique
3449,Cluster 3449,1327,core
3450,Cluster 3450,1,unique
3451,Cluster 3451,2,unique
3452,Cluster 3452,1,unique
3453,Cluster 3453,4,unique
3454,Cluster 3454,2,unique
3455,Cluster 3455,3,unique
3456,Cluster 3456,1,unique
3457,Cluster 3457,5,unique
3458,Cluster 3458,547,accessory
3459,Cluster 3459,13,unique
3460,Cluster 3460,1320,core
3461,Cluster 3461,6,unique
3462,Cluster 3462,1326,core
3463,Cluster 3463,476,accessory
3464,Cluster 3464,1325,core
3465,Cluster 3465,3,unique
3466,Cluster 3466,4,unique
3467,Cluster 3467,1,unique
3468,Cluster 3468,1287,accessory
3469,Cluster 3469,4,unique
3470,Cluster 3470,4,unique
3471,Cluster 3471,25,unique
3472,Cluster 3472,4,unique
3473,Cluster 3473,16,unique
3474,Cluster 3474,1,unique
3475,Cluster 3475,2,unique
3476,Cluster 3476,7,unique
3477,Cluster 3477,2,unique
3478,Cluster 3478,97,unique
3479,Cluster 3479,2,unique
3480,Cluster 3480,1323,core
3481,Cluster 3481,1219,accessory
3482,Cluster 3482,845,accessory
3483,Cluster 3483,39,unique
3484,Cluster 3484,1,unique
3485,Cluster 3485,3,unique
3486,Cluster 3486,4,unique
3487,Cluster 3487,1202,accessory
3488,Cluster 3488,1326,core
3489,Cluster 3489,1,unique
3490,Cluster 3490,22,unique
3491,Cluster 3491,4,unique
3492,Cluster 3492,4,unique
3493,Cluster 3493,7,unique
3494,Cluster 3494,1319,core
3495,Cluster 3495,1,unique
3496,Cluster 3496,5,unique
3497,Cluster 3497,3,unique
3498,Cluster 3498,5,unique
3499,Cluster 3499,1060,accessory
3500,Cluster 3500,1,unique
3501,Cluster 3501,583,accessory
3502,Cluster 3502,2,unique
3503,Cluster 3503,836,accessory
3504,Cluster 3504,1,unique
3505,Cluster 3505,1,unique
3506,Cluster 3506,4,unique
3507,Cluster 3507,1320,core
3508,Cluster 3508,5,unique
3509,Cluster 3509,18,unique
3510,Cluster 3510,19,unique
3511,Cluster 3511,2,unique
3512,Cluster 3512,2,unique
3513,Cluster 3513,3,unique
3514,Cluster 3514,2,unique
3515,Cluster 3515,25,unique
3516,Cluster 3516,2,unique
3517,Cluster 3517,1314,core
3518,Cluster 3518,317,accessory
3519,Cluster 3519,1302,core
3520,Cluster 3520,1326,core
3521,Cluster 3521,3,unique
3522,Cluster 3522,47,unique
3523,Cluster 3523,1,unique
3524,Cluster 3524,9,unique
3525,Cluster 3525,1320,core
3526,Cluster 3526,12,unique
3527,Cluster 3527,150,accessory
3528,Cluster 3528,1315,core
3529,Cluster 3529,2,unique
3530,Cluster 3530,1,unique
3531,Cluster 3531,8,unique
3532,Cluster 3532,2,unique
3533,Cluster 3533,286,accessory
3534,Cluster 3534,2,unique
3535,Cluster 3535,51,unique
