, ,Number of genomes
612,Cluster 612,1
613,Cluster 613,1163
614,Cluster 614,46
615,Cluster 615,1
616,Cluster 616,4
617,Cluster 617,21
618,Cluster 618,1324
619,Cluster 619,1
620,Cluster 620,1
621,Cluster 621,9
622,Cluster 622,1322
623,Cluster 623,1
624,Cluster 624,1
625,Cluster 625,4
626,Cluster 626,4
627,Cluster 627,2
628,Cluster 628,423
629,Cluster 629,5
630,Cluster 630,1
631,Cluster 631,42
632,Cluster 632,4
633,Cluster 633,9
634,Cluster 634,24
635,Cluster 635,49
636,Cluster 636,1
637,Cluster 637,5
638,Cluster 638,3
639,Cluster 639,3
640,Cluster 640,1
641,Cluster 641,6
642,Cluster 642,2
643,Cluster 643,7
644,Cluster 644,1
645,Cluster 645,1
646,Cluster 646,16
647,Cluster 647,1287
648,Cluster 648,7
649,Cluster 649,4
650,Cluster 650,12
651,Cluster 651,1322
652,Cluster 652,1319
653,Cluster 653,1
654,Cluster 654,2
655,Cluster 655,1
656,Cluster 656,7
657,Cluster 657,67
658,Cluster 658,3
659,Cluster 659,2
660,Cluster 660,22
661,Cluster 661,1
662,Cluster 662,6
663,Cluster 663,2
664,Cluster 664,5
665,Cluster 665,3
666,Cluster 666,2
667,Cluster 667,237
668,Cluster 668,5
669,Cluster 669,1
670,Cluster 670,16
671,Cluster 671,2
672,Cluster 672,17
673,Cluster 673,10
674,Cluster 674,22
675,Cluster 675,27
676,Cluster 676,1317
677,Cluster 677,126
678,Cluster 678,2
679,Cluster 679,1
680,Cluster 680,1
681,Cluster 681,26
682,Cluster 682,22
683,Cluster 683,1
684,Cluster 684,1
685,Cluster 685,2
686,Cluster 686,3
687,Cluster 687,64
688,Cluster 688,151
689,Cluster 689,1
690,Cluster 690,11
691,Cluster 691,1
692,Cluster 692,427
693,Cluster 693,22
694,Cluster 694,2
695,Cluster 695,1
696,Cluster 696,5
697,Cluster 697,121
698,Cluster 698,1
699,Cluster 699,90
700,Cluster 700,1
701,Cluster 701,111
702,Cluster 702,11
703,Cluster 703,8
704,Cluster 704,1
705,Cluster 705,9
706,Cluster 706,11
707,Cluster 707,1326
708,Cluster 708,8
709,Cluster 709,1
710,Cluster 710,168
711,Cluster 711,33
712,Cluster 712,1
713,Cluster 713,154
714,Cluster 714,1
715,Cluster 715,2
716,Cluster 716,3
717,Cluster 717,1
718,Cluster 718,154
719,Cluster 719,1
720,Cluster 720,3
721,Cluster 721,7
722,Cluster 722,1310
723,Cluster 723,7
724,Cluster 724,1325
725,Cluster 725,5
726,Cluster 726,1
727,Cluster 727,8
728,Cluster 728,12
729,Cluster 729,2
730,Cluster 730,3
731,Cluster 731,1
732,Cluster 732,2
733,Cluster 733,8
734,Cluster 734,1
735,Cluster 735,1
