, ,Number of genomes
411,Cluster 411,30
412,Cluster 412,1
413,Cluster 413,9
414,Cluster 414,2
415,Cluster 415,1966
416,Cluster 416,1
417,Cluster 417,3
418,Cluster 418,1
419,Cluster 419,2
420,Cluster 420,408
421,Cluster 421,2
422,Cluster 422,7
423,Cluster 423,5
424,Cluster 424,9
425,Cluster 425,2
426,Cluster 426,12
427,Cluster 427,1948
428,Cluster 428,12
429,Cluster 429,1
430,Cluster 430,2
431,Cluster 431,1
432,Cluster 432,6
433,Cluster 433,1
434,Cluster 434,2
435,Cluster 435,9
436,Cluster 436,1
437,Cluster 437,3
438,Cluster 438,4
439,Cluster 439,44
440,Cluster 440,37
441,Cluster 441,11
442,Cluster 442,7
443,Cluster 443,14
444,Cluster 444,6
445,Cluster 445,3
446,Cluster 446,5
447,Cluster 447,1
448,Cluster 448,1962
449,Cluster 449,1
450,Cluster 450,17
451,Cluster 451,3
452,Cluster 452,15
453,Cluster 453,1
454,Cluster 454,6
455,Cluster 455,54
456,Cluster 456,6
457,Cluster 457,29
458,Cluster 458,1
459,Cluster 459,1
460,Cluster 460,9
461,Cluster 461,3
462,Cluster 462,12
463,Cluster 463,411
464,Cluster 464,7
465,Cluster 465,2
466,Cluster 466,1957
467,Cluster 467,8
468,Cluster 468,4
469,Cluster 469,221
470,Cluster 470,2
471,Cluster 471,17
472,Cluster 472,288
473,Cluster 473,191
474,Cluster 474,1
475,Cluster 475,1311
476,Cluster 476,146
477,Cluster 477,14
478,Cluster 478,9
479,Cluster 479,2
480,Cluster 480,9
481,Cluster 481,15
482,Cluster 482,10
483,Cluster 483,639
484,Cluster 484,2
485,Cluster 485,3
486,Cluster 486,39
487,Cluster 487,7
488,Cluster 488,3
489,Cluster 489,3
490,Cluster 490,6
491,Cluster 491,5
492,Cluster 492,19
493,Cluster 493,1
494,Cluster 494,1788
495,Cluster 495,1969
496,Cluster 496,726
497,Cluster 497,16
498,Cluster 498,26
499,Cluster 499,1
500,Cluster 500,5
501,Cluster 501,27
502,Cluster 502,143
503,Cluster 503,8
504,Cluster 504,490
505,Cluster 505,1
506,Cluster 506,4
507,Cluster 507,5
508,Cluster 508,1
509,Cluster 509,76
510,Cluster 510,1952
511,Cluster 511,4
512,Cluster 512,1965
513,Cluster 513,1
514,Cluster 514,4
515,Cluster 515,2
516,Cluster 516,2
517,Cluster 517,2
518,Cluster 518,1
519,Cluster 519,1
520,Cluster 520,4
521,Cluster 521,1
522,Cluster 522,1
523,Cluster 523,5
524,Cluster 524,3
525,Cluster 525,4
526,Cluster 526,2
527,Cluster 527,123
528,Cluster 528,1
529,Cluster 529,1
530,Cluster 530,1
531,Cluster 531,662
532,Cluster 532,9
533,Cluster 533,346
534,Cluster 534,23
535,Cluster 535,1
536,Cluster 536,1
537,Cluster 537,1
538,Cluster 538,1
539,Cluster 539,1
540,Cluster 540,1969
541,Cluster 541,48
542,Cluster 542,7
543,Cluster 543,1782
544,Cluster 544,7
545,Cluster 545,1
546,Cluster 546,4
547,Cluster 547,14
548,Cluster 548,1
549,Cluster 549,1
550,Cluster 550,1
551,Cluster 551,8
552,Cluster 552,6
553,Cluster 553,1
554,Cluster 554,6
555,Cluster 555,4
556,Cluster 556,1
557,Cluster 557,4
558,Cluster 558,1968
559,Cluster 559,1
560,Cluster 560,191
561,Cluster 561,76
562,Cluster 562,3
563,Cluster 563,9
564,Cluster 564,3
565,Cluster 565,1
566,Cluster 566,4
567,Cluster 567,1
568,Cluster 568,11
569,Cluster 569,4
570,Cluster 570,5
571,Cluster 571,1
572,Cluster 572,1
573,Cluster 573,1
574,Cluster 574,1
575,Cluster 575,3
576,Cluster 576,16
577,Cluster 577,1
578,Cluster 578,17
579,Cluster 579,65
580,Cluster 580,1
581,Cluster 581,9
582,Cluster 582,6
583,Cluster 583,1
584,Cluster 584,1
585,Cluster 585,1
586,Cluster 586,78
587,Cluster 587,8
588,Cluster 588,5
589,Cluster 589,1899
590,Cluster 590,1
591,Cluster 591,1
592,Cluster 592,337
593,Cluster 593,2
594,Cluster 594,9
595,Cluster 595,2
596,Cluster 596,1
597,Cluster 597,7
598,Cluster 598,1
599,Cluster 599,14
600,Cluster 600,3
601,Cluster 601,6
602,Cluster 602,1
603,Cluster 603,1
604,Cluster 604,28
605,Cluster 605,29
606,Cluster 606,2
607,Cluster 607,1
608,Cluster 608,1967
609,Cluster 609,3
610,Cluster 610,4
611,Cluster 611,1
612,Cluster 612,1
613,Cluster 613,8
614,Cluster 614,1
615,Cluster 615,1965
616,Cluster 616,601
617,Cluster 617,478
618,Cluster 618,1
619,Cluster 619,2
620,Cluster 620,8
621,Cluster 621,1970
622,Cluster 622,64
623,Cluster 623,63
624,Cluster 624,4
625,Cluster 625,248
626,Cluster 626,7
627,Cluster 627,30
628,Cluster 628,2
629,Cluster 629,1
630,Cluster 630,1
631,Cluster 631,2
632,Cluster 632,1
633,Cluster 633,1
634,Cluster 634,1
635,Cluster 635,1
636,Cluster 636,1903
637,Cluster 637,1967
638,Cluster 638,3
639,Cluster 639,1
640,Cluster 640,380
641,Cluster 641,1846
642,Cluster 642,1
643,Cluster 643,2
644,Cluster 644,1
645,Cluster 645,2
646,Cluster 646,17
647,Cluster 647,71
648,Cluster 648,5
649,Cluster 649,17
650,Cluster 650,1
651,Cluster 651,130
652,Cluster 652,1
653,Cluster 653,2
654,Cluster 654,6
655,Cluster 655,1
656,Cluster 656,1969
657,Cluster 657,5
658,Cluster 658,1
659,Cluster 659,2
660,Cluster 660,2
661,Cluster 661,4
662,Cluster 662,2
663,Cluster 663,1
664,Cluster 664,4
665,Cluster 665,9
666,Cluster 666,1
667,Cluster 667,1
668,Cluster 668,14
669,Cluster 669,4
670,Cluster 670,37
671,Cluster 671,2
672,Cluster 672,1
673,Cluster 673,7
674,Cluster 674,26
675,Cluster 675,1
676,Cluster 676,1
677,Cluster 677,95
678,Cluster 678,5
679,Cluster 679,1
680,Cluster 680,2
681,Cluster 681,1
682,Cluster 682,3
683,Cluster 683,9
684,Cluster 684,4
685,Cluster 685,1
686,Cluster 686,85
687,Cluster 687,1
688,Cluster 688,1
689,Cluster 689,28
690,Cluster 690,14
691,Cluster 691,856
692,Cluster 692,1
693,Cluster 693,66
694,Cluster 694,5
695,Cluster 695,1
696,Cluster 696,212
697,Cluster 697,2
698,Cluster 698,1
699,Cluster 699,1
700,Cluster 700,6
701,Cluster 701,60
702,Cluster 702,30
703,Cluster 703,1
704,Cluster 704,19
705,Cluster 705,3
706,Cluster 706,1
707,Cluster 707,2
708,Cluster 708,1
709,Cluster 709,1967
710,Cluster 710,2
711,Cluster 711,1
712,Cluster 712,1
713,Cluster 713,9
714,Cluster 714,21
715,Cluster 715,3
716,Cluster 716,57
717,Cluster 717,57
718,Cluster 718,1
719,Cluster 719,3
720,Cluster 720,4
721,Cluster 721,2
722,Cluster 722,37
723,Cluster 723,1
724,Cluster 724,13
725,Cluster 725,1
726,Cluster 726,4
727,Cluster 727,1
728,Cluster 728,1
729,Cluster 729,1
730,Cluster 730,1
731,Cluster 731,1969
732,Cluster 732,9
733,Cluster 733,20
734,Cluster 734,3
735,Cluster 735,2
736,Cluster 736,2
737,Cluster 737,69
738,Cluster 738,1
739,Cluster 739,10
740,Cluster 740,3
741,Cluster 741,1
742,Cluster 742,5
743,Cluster 743,1
744,Cluster 744,3
745,Cluster 745,2
746,Cluster 746,1
747,Cluster 747,1
748,Cluster 748,1
749,Cluster 749,1933
750,Cluster 750,1
751,Cluster 751,435
752,Cluster 752,1
753,Cluster 753,1
754,Cluster 754,1
755,Cluster 755,45
756,Cluster 756,123
757,Cluster 757,1
758,Cluster 758,6
759,Cluster 759,1
760,Cluster 760,5
761,Cluster 761,4
762,Cluster 762,52
763,Cluster 763,1
764,Cluster 764,1
765,Cluster 765,2
766,Cluster 766,13
767,Cluster 767,1
768,Cluster 768,23
769,Cluster 769,202
770,Cluster 770,3
771,Cluster 771,1
772,Cluster 772,7
773,Cluster 773,1
774,Cluster 774,2
775,Cluster 775,1
776,Cluster 776,5
777,Cluster 777,656
778,Cluster 778,3
779,Cluster 779,4
780,Cluster 780,5
781,Cluster 781,42
782,Cluster 782,5
783,Cluster 783,21
784,Cluster 784,1
785,Cluster 785,1
786,Cluster 786,5
787,Cluster 787,2
788,Cluster 788,3
789,Cluster 789,459
790,Cluster 790,5
791,Cluster 791,1000
792,Cluster 792,11
793,Cluster 793,1
794,Cluster 794,579
795,Cluster 795,75
796,Cluster 796,7
797,Cluster 797,1920
798,Cluster 798,1
799,Cluster 799,1
800,Cluster 800,1
801,Cluster 801,10
802,Cluster 802,127
803,Cluster 803,36
804,Cluster 804,10
805,Cluster 805,2
806,Cluster 806,4
807,Cluster 807,2
808,Cluster 808,5
809,Cluster 809,1
810,Cluster 810,269
811,Cluster 811,1
812,Cluster 812,4
813,Cluster 813,3
814,Cluster 814,2
815,Cluster 815,11
816,Cluster 816,5
817,Cluster 817,56
818,Cluster 818,12
819,Cluster 819,45
820,Cluster 820,2
821,Cluster 821,1
822,Cluster 822,29
823,Cluster 823,1
824,Cluster 824,15
825,Cluster 825,29
826,Cluster 826,1691
827,Cluster 827,1
828,Cluster 828,1
829,Cluster 829,3
830,Cluster 830,201
831,Cluster 831,1
832,Cluster 832,1
