, ,Number of genomes,gene_class
174,Cluster 174,29,unique
175,Cluster 175,1,unique
176,Cluster 176,1,unique
177,Cluster 177,1,unique
178,Cluster 178,19,unique
179,Cluster 179,8,unique
180,Cluster 180,1,unique
181,Cluster 181,25,unique
182,Cluster 182,23,unique
183,Cluster 183,66,unique
184,Cluster 184,29,unique
185,Cluster 185,2,unique
186,Cluster 186,21,unique
187,Cluster 187,1,unique
188,Cluster 188,3,unique
189,Cluster 189,3,unique
190,Cluster 190,1951,core
191,Cluster 191,17,unique
192,Cluster 192,47,unique
193,Cluster 193,1,unique
194,Cluster 194,1,unique
195,Cluster 195,39,unique
196,Cluster 196,18,unique
197,Cluster 197,72,unique
198,Cluster 198,3,unique
199,Cluster 199,32,unique
200,Cluster 200,9,unique
201,Cluster 201,56,unique
202,Cluster 202,1,unique
203,Cluster 203,1,unique
204,Cluster 204,2,unique
205,Cluster 205,1,unique
206,Cluster 206,8,unique
207,Cluster 207,11,unique
208,Cluster 208,125,unique
209,Cluster 209,3,unique
210,Cluster 210,238,accessory
211,Cluster 211,4,unique
212,Cluster 212,6,unique
213,Cluster 213,1,unique
214,Cluster 214,2,unique
215,Cluster 215,1,unique
216,Cluster 216,1,unique
217,Cluster 217,45,unique
218,Cluster 218,35,unique
219,Cluster 219,575,accessory
220,Cluster 220,42,unique
221,Cluster 221,2,unique
222,Cluster 222,86,unique
223,Cluster 223,197,accessory
224,Cluster 224,22,unique
225,Cluster 225,5,unique
226,Cluster 226,86,unique
227,Cluster 227,67,unique
228,Cluster 228,1,unique
229,Cluster 229,65,unique
230,Cluster 230,73,unique
231,Cluster 231,2,unique
232,Cluster 232,11,unique
233,Cluster 233,3,unique
234,Cluster 234,21,unique
235,Cluster 235,35,unique
236,Cluster 236,1,unique
237,Cluster 237,1614,accessory
238,Cluster 238,1,unique
239,Cluster 239,1,unique
240,Cluster 240,2,unique
241,Cluster 241,1,unique
242,Cluster 242,2,unique
243,Cluster 243,1,unique
244,Cluster 244,731,accessory
245,Cluster 245,17,unique
246,Cluster 246,1,unique
247,Cluster 247,10,unique
248,Cluster 248,1885,accessory
249,Cluster 249,357,accessory
250,Cluster 250,9,unique
251,Cluster 251,2,unique
252,Cluster 252,2,unique
253,Cluster 253,66,unique
254,Cluster 254,2,unique
255,Cluster 255,4,unique
256,Cluster 256,1,unique
257,Cluster 257,1,unique
258,Cluster 258,9,unique
259,Cluster 259,1970,core
260,Cluster 260,1,unique
261,Cluster 261,13,unique
262,Cluster 262,1,unique
263,Cluster 263,16,unique
264,Cluster 264,13,unique
265,Cluster 265,2,unique
266,Cluster 266,134,unique
267,Cluster 267,1,unique
268,Cluster 268,26,unique
269,Cluster 269,5,unique
270,Cluster 270,13,unique
271,Cluster 271,2,unique
272,Cluster 272,7,unique
273,Cluster 273,2,unique
274,Cluster 274,1,unique
275,Cluster 275,1,unique
276,Cluster 276,8,unique
277,Cluster 277,2,unique
278,Cluster 278,38,unique
279,Cluster 279,15,unique
280,Cluster 280,20,unique
281,Cluster 281,1,unique
282,Cluster 282,1,unique
283,Cluster 283,1969,core
284,Cluster 284,4,unique
285,Cluster 285,90,unique
286,Cluster 286,5,unique
287,Cluster 287,2,unique
288,Cluster 288,21,unique
289,Cluster 289,11,unique
290,Cluster 290,1,unique
291,Cluster 291,1,unique
292,Cluster 292,1,unique
293,Cluster 293,5,unique
