, ,Number of genomes,gene_class
16314,Cluster 16314,1,unique
16315,Cluster 16315,1409,accessory
16316,Cluster 16316,3,unique
16317,Cluster 16317,47,unique
16318,Cluster 16318,14,unique
16319,Cluster 16319,1,unique
16320,Cluster 16320,2,unique
16321,Cluster 16321,1,unique
16322,Cluster 16322,5,unique
16323,Cluster 16323,2,unique
16324,Cluster 16324,1,unique
16325,Cluster 16325,1,unique
16326,Cluster 16326,2,unique
16327,Cluster 16327,1,unique
16328,Cluster 16328,1,unique
16329,Cluster 16329,1,unique
16330,Cluster 16330,1,unique
16331,Cluster 16331,12,unique
16332,Cluster 16332,1,unique
16333,Cluster 16333,2,unique
16334,Cluster 16334,1,unique
16335,Cluster 16335,1175,accessory
16336,Cluster 16336,2,unique
16337,Cluster 16337,3,unique
16338,Cluster 16338,1476,accessory
16339,Cluster 16339,5,unique
16340,Cluster 16340,5,unique
16341,Cluster 16341,2,unique
16342,Cluster 16342,2,unique
16343,Cluster 16343,1,unique
16344,Cluster 16344,1,unique
16345,Cluster 16345,6,unique
16346,Cluster 16346,1,unique
16347,Cluster 16347,3,unique
16348,Cluster 16348,1,unique
16349,Cluster 16349,1,unique
16350,Cluster 16350,3,unique
16351,Cluster 16351,1,unique
16352,Cluster 16352,1,unique
16353,Cluster 16353,65,unique
16354,Cluster 16354,2,unique
16355,Cluster 16355,3,unique
16356,Cluster 16356,2,unique
16357,Cluster 16357,5,unique
16358,Cluster 16358,849,accessory
16359,Cluster 16359,682,accessory
16360,Cluster 16360,267,accessory
16361,Cluster 16361,1911,accessory
16362,Cluster 16362,1965,core
16363,Cluster 16363,1970,core
16364,Cluster 16364,1963,core
16365,Cluster 16365,1963,core
16366,Cluster 16366,1967,core
16367,Cluster 16367,1968,core
16368,Cluster 16368,1194,accessory
16369,Cluster 16369,573,accessory
16370,Cluster 16370,746,accessory
16371,Cluster 16371,686,accessory
16372,Cluster 16372,3,unique
16373,Cluster 16373,2,unique
16374,Cluster 16374,2,unique
16375,Cluster 16375,2,unique
16376,Cluster 16376,3,unique
16377,Cluster 16377,3,unique
16378,Cluster 16378,2,unique
16379,Cluster 16379,1968,core
16380,Cluster 16380,2,unique
16381,Cluster 16381,5,unique
16382,Cluster 16382,2,unique
16383,Cluster 16383,7,unique
16384,Cluster 16384,26,unique
16385,Cluster 16385,4,unique
16386,Cluster 16386,516,accessory
16387,Cluster 16387,1,unique
16388,Cluster 16388,9,unique
16389,Cluster 16389,83,unique
16390,Cluster 16390,99,unique
16391,Cluster 16391,95,unique
16392,Cluster 16392,13,unique
16393,Cluster 16393,2,unique
16394,Cluster 16394,107,unique
16395,Cluster 16395,19,unique
16396,Cluster 16396,15,unique
16397,Cluster 16397,41,unique
16398,Cluster 16398,9,unique
16399,Cluster 16399,21,unique
16400,Cluster 16400,1,unique
16401,Cluster 16401,54,unique
16402,Cluster 16402,11,unique
16403,Cluster 16403,7,unique
16404,Cluster 16404,37,unique
16405,Cluster 16405,5,unique
16406,Cluster 16406,1,unique
16407,Cluster 16407,11,unique
16408,Cluster 16408,7,unique
16409,Cluster 16409,2,unique
16410,Cluster 16410,4,unique
16411,Cluster 16411,1955,core
16412,Cluster 16412,237,accessory
16413,Cluster 16413,1,unique
16414,Cluster 16414,2,unique
16415,Cluster 16415,2,unique
16416,Cluster 16416,3,unique
16417,Cluster 16417,5,unique
16418,Cluster 16418,1,unique
16419,Cluster 16419,1,unique
16420,Cluster 16420,1,unique
16421,Cluster 16421,1,unique
16422,Cluster 16422,8,unique
16423,Cluster 16423,6,unique
16424,Cluster 16424,4,unique
16425,Cluster 16425,2,unique
16426,Cluster 16426,1,unique
16427,Cluster 16427,4,unique
16428,Cluster 16428,1,unique
16429,Cluster 16429,4,unique
16430,Cluster 16430,28,unique
16431,Cluster 16431,1,unique
16432,Cluster 16432,2,unique
16433,Cluster 16433,2,unique
16434,Cluster 16434,1,unique
16435,Cluster 16435,53,unique
16436,Cluster 16436,1,unique
16437,Cluster 16437,1,unique
16438,Cluster 16438,1,unique
16439,Cluster 16439,4,unique
16440,Cluster 16440,7,unique
16441,Cluster 16441,1,unique
16442,Cluster 16442,4,unique
16443,Cluster 16443,3,unique
16444,Cluster 16444,1,unique
16445,Cluster 16445,3,unique
16446,Cluster 16446,78,unique
16447,Cluster 16447,27,unique
16448,Cluster 16448,8,unique
16449,Cluster 16449,3,unique
16450,Cluster 16450,1,unique
16451,Cluster 16451,1,unique
16452,Cluster 16452,1,unique
16453,Cluster 16453,1,unique
16454,Cluster 16454,1,unique
16455,Cluster 16455,1,unique
16456,Cluster 16456,1965,core
16457,Cluster 16457,1944,core
16458,Cluster 16458,1970,core
16459,Cluster 16459,1375,accessory
16460,Cluster 16460,1970,core
16461,Cluster 16461,11,unique
16462,Cluster 16462,18,unique
16463,Cluster 16463,2,unique
16464,Cluster 16464,1970,core
16465,Cluster 16465,1969,core
16466,Cluster 16466,1956,core
16467,Cluster 16467,1800,accessory
16468,Cluster 16468,2,unique
16469,Cluster 16469,67,unique
16470,Cluster 16470,2,unique
16471,Cluster 16471,143,unique
16472,Cluster 16472,2,unique
16473,Cluster 16473,11,unique
16474,Cluster 16474,78,unique
16475,Cluster 16475,2,unique
16476,Cluster 16476,2,unique
16477,Cluster 16477,3,unique
16478,Cluster 16478,4,unique
16479,Cluster 16479,6,unique
16480,Cluster 16480,4,unique
16481,Cluster 16481,271,accessory
16482,Cluster 16482,11,unique
16483,Cluster 16483,1,unique
16484,Cluster 16484,10,unique
16485,Cluster 16485,14,unique
16486,Cluster 16486,19,unique
16487,Cluster 16487,65,unique
16488,Cluster 16488,86,unique
16489,Cluster 16489,2,unique
16490,Cluster 16490,4,unique
16491,Cluster 16491,248,accessory
16492,Cluster 16492,8,unique
16493,Cluster 16493,1966,core
16494,Cluster 16494,3,unique
16495,Cluster 16495,4,unique
16496,Cluster 16496,1,unique
16497,Cluster 16497,2,unique
16498,Cluster 16498,1,unique
16499,Cluster 16499,2,unique
16500,Cluster 16500,1,unique
16501,Cluster 16501,2,unique
16502,Cluster 16502,2,unique
16503,Cluster 16503,4,unique
16504,Cluster 16504,30,unique
16505,Cluster 16505,47,unique
16506,Cluster 16506,1,unique
16507,Cluster 16507,3,unique
16508,Cluster 16508,17,unique
16509,Cluster 16509,4,unique
16510,Cluster 16510,3,unique
16511,Cluster 16511,1,unique
16512,Cluster 16512,1,unique
16513,Cluster 16513,1,unique
16514,Cluster 16514,2,unique
16515,Cluster 16515,1,unique
16516,Cluster 16516,1,unique
16517,Cluster 16517,2,unique
16518,Cluster 16518,2,unique
16519,Cluster 16519,1,unique
16520,Cluster 16520,7,unique
16521,Cluster 16521,1,unique
16522,Cluster 16522,1,unique
16523,Cluster 16523,5,unique
16524,Cluster 16524,1,unique
16525,Cluster 16525,4,unique
16526,Cluster 16526,5,unique
16527,Cluster 16527,2,unique
16528,Cluster 16528,10,unique
16529,Cluster 16529,2,unique
16530,Cluster 16530,1,unique
16531,Cluster 16531,1,unique
16532,Cluster 16532,1,unique
16533,Cluster 16533,1,unique
16534,Cluster 16534,1,unique
16535,Cluster 16535,1,unique
16536,Cluster 16536,1,unique
16537,Cluster 16537,1,unique
16538,Cluster 16538,1,unique
16539,Cluster 16539,1,unique
16540,Cluster 16540,1,unique
16541,Cluster 16541,1,unique
16542,Cluster 16542,3,unique
16543,Cluster 16543,12,unique
16544,Cluster 16544,20,unique
16545,Cluster 16545,9,unique
16546,Cluster 16546,10,unique
16547,Cluster 16547,3,unique
16548,Cluster 16548,2,unique
16549,Cluster 16549,1,unique
16550,Cluster 16550,2,unique
16551,Cluster 16551,38,unique
16552,Cluster 16552,4,unique
16553,Cluster 16553,9,unique
16554,Cluster 16554,1520,accessory
16555,Cluster 16555,1959,core
16556,Cluster 16556,1970,core
16557,Cluster 16557,1340,accessory
16558,Cluster 16558,1038,accessory
16559,Cluster 16559,1,unique
16560,Cluster 16560,3,unique
16561,Cluster 16561,3,unique
16562,Cluster 16562,2,unique
16563,Cluster 16563,3,unique
16564,Cluster 16564,2,unique
16565,Cluster 16565,2,unique
16566,Cluster 16566,1957,core
16567,Cluster 16567,7,unique
16568,Cluster 16568,3,unique
16569,Cluster 16569,2,unique
16570,Cluster 16570,1,unique
16571,Cluster 16571,3,unique
16572,Cluster 16572,3,unique
16573,Cluster 16573,157,unique
16574,Cluster 16574,2,unique
16575,Cluster 16575,30,unique
16576,Cluster 16576,2,unique
16577,Cluster 16577,13,unique
16578,Cluster 16578,88,unique
16579,Cluster 16579,9,unique
16580,Cluster 16580,1970,core
16581,Cluster 16581,106,unique
16582,Cluster 16582,1,unique
16583,Cluster 16583,3,unique
16584,Cluster 16584,31,unique
16585,Cluster 16585,1,unique
16586,Cluster 16586,96,unique
16587,Cluster 16587,48,unique
16588,Cluster 16588,8,unique
16589,Cluster 16589,34,unique
16590,Cluster 16590,4,unique
16591,Cluster 16591,1,unique
16592,Cluster 16592,454,accessory
16593,Cluster 16593,4,unique
16594,Cluster 16594,3,unique
16595,Cluster 16595,3,unique
16596,Cluster 16596,1,unique
16597,Cluster 16597,2,unique
16598,Cluster 16598,4,unique
16599,Cluster 16599,7,unique
16600,Cluster 16600,114,unique
16601,Cluster 16601,1534,accessory
16602,Cluster 16602,7,unique
16603,Cluster 16603,1,unique
16604,Cluster 16604,2,unique
16605,Cluster 16605,1,unique
16606,Cluster 16606,20,unique
16607,Cluster 16607,5,unique
16608,Cluster 16608,3,unique
16609,Cluster 16609,9,unique
16610,Cluster 16610,14,unique
16611,Cluster 16611,4,unique
16612,Cluster 16612,1,unique
16613,Cluster 16613,1957,core
16614,Cluster 16614,2,unique
16615,Cluster 16615,1,unique
16616,Cluster 16616,1906,accessory
16617,Cluster 16617,1,unique
16618,Cluster 16618,1,unique
16619,Cluster 16619,2,unique
16620,Cluster 16620,1,unique
16621,Cluster 16621,1,unique
16622,Cluster 16622,1,unique
16623,Cluster 16623,1,unique
16624,Cluster 16624,2,unique
16625,Cluster 16625,7,unique
16626,Cluster 16626,1,unique
16627,Cluster 16627,3,unique
16628,Cluster 16628,1,unique
16629,Cluster 16629,1,unique
16630,Cluster 16630,1,unique
16631,Cluster 16631,1,unique
16632,Cluster 16632,5,unique
16633,Cluster 16633,1,unique
16634,Cluster 16634,1,unique
16635,Cluster 16635,36,unique
16636,Cluster 16636,2,unique
16637,Cluster 16637,1,unique
16638,Cluster 16638,1,unique
16639,Cluster 16639,1,unique
16640,Cluster 16640,1,unique
16641,Cluster 16641,1,unique
16642,Cluster 16642,1,unique
16643,Cluster 16643,1,unique
16644,Cluster 16644,2,unique
16645,Cluster 16645,1,unique
16646,Cluster 16646,1,unique
16647,Cluster 16647,2,unique
16648,Cluster 16648,1,unique
16649,Cluster 16649,574,accessory
16650,Cluster 16650,25,unique
16651,Cluster 16651,1,unique
16652,Cluster 16652,4,unique
16653,Cluster 16653,7,unique
16654,Cluster 16654,2,unique
16655,Cluster 16655,1,unique
16656,Cluster 16656,9,unique
16657,Cluster 16657,7,unique
16658,Cluster 16658,4,unique
16659,Cluster 16659,1,unique
16660,Cluster 16660,3,unique
16661,Cluster 16661,1,unique
16662,Cluster 16662,5,unique
16663,Cluster 16663,1,unique
16664,Cluster 16664,1,unique
16665,Cluster 16665,1,unique
16666,Cluster 16666,4,unique
16667,Cluster 16667,1969,core
16668,Cluster 16668,1970,core
16669,Cluster 16669,1970,core
16670,Cluster 16670,1969,core
16671,Cluster 16671,1970,core
16672,Cluster 16672,579,accessory
16673,Cluster 16673,1254,accessory
16674,Cluster 16674,2,unique
16675,Cluster 16675,2,unique
16676,Cluster 16676,2,unique
16677,Cluster 16677,5,unique
16678,Cluster 16678,8,unique
16679,Cluster 16679,2,unique
16680,Cluster 16680,5,unique
16681,Cluster 16681,90,unique
16682,Cluster 16682,45,unique
16683,Cluster 16683,906,accessory
16684,Cluster 16684,2,unique
16685,Cluster 16685,15,unique
16686,Cluster 16686,39,unique
16687,Cluster 16687,3,unique
16688,Cluster 16688,15,unique
16689,Cluster 16689,4,unique
16690,Cluster 16690,6,unique
16691,Cluster 16691,1,unique
16692,Cluster 16692,1695,accessory
16693,Cluster 16693,1,unique
16694,Cluster 16694,2,unique
16695,Cluster 16695,2,unique
16696,Cluster 16696,2,unique
16697,Cluster 16697,1,unique
16698,Cluster 16698,8,unique
16699,Cluster 16699,31,unique
16700,Cluster 16700,3,unique
16701,Cluster 16701,1968,core
16702,Cluster 16702,4,unique
16703,Cluster 16703,1,unique
16704,Cluster 16704,2,unique
16705,Cluster 16705,4,unique
16706,Cluster 16706,4,unique
16707,Cluster 16707,1,unique
16708,Cluster 16708,1,unique
16709,Cluster 16709,1,unique
16710,Cluster 16710,17,unique
16711,Cluster 16711,1,unique
16712,Cluster 16712,3,unique
16713,Cluster 16713,10,unique
16714,Cluster 16714,1,unique
16715,Cluster 16715,1,unique
16716,Cluster 16716,1,unique
16717,Cluster 16717,1,unique
16718,Cluster 16718,502,accessory
16719,Cluster 16719,86,unique
16720,Cluster 16720,15,unique
16721,Cluster 16721,1,unique
16722,Cluster 16722,24,unique
16723,Cluster 16723,2,unique
16724,Cluster 16724,1,unique
16725,Cluster 16725,4,unique
16726,Cluster 16726,1970,core
16727,Cluster 16727,1,unique
16728,Cluster 16728,1,unique
16729,Cluster 16729,5,unique
16730,Cluster 16730,1,unique
16731,Cluster 16731,1,unique
16732,Cluster 16732,1,unique
16733,Cluster 16733,1,unique
16734,Cluster 16734,9,unique
16735,Cluster 16735,2,unique
16736,Cluster 16736,6,unique
16737,Cluster 16737,6,unique
16738,Cluster 16738,11,unique
16739,Cluster 16739,660,accessory
16740,Cluster 16740,1,unique
16741,Cluster 16741,3,unique
16742,Cluster 16742,1,unique
16743,Cluster 16743,1261,accessory
16744,Cluster 16744,1,unique
16745,Cluster 16745,16,unique
16746,Cluster 16746,1970,core
16747,Cluster 16747,16,unique
16748,Cluster 16748,1966,core
16749,Cluster 16749,1961,core
16750,Cluster 16750,5,unique
16751,Cluster 16751,4,unique
16752,Cluster 16752,2,unique
16753,Cluster 16753,1,unique
16754,Cluster 16754,1,unique
16755,Cluster 16755,23,unique
16756,Cluster 16756,18,unique
16757,Cluster 16757,2,unique
16758,Cluster 16758,201,accessory
16759,Cluster 16759,1,unique
16760,Cluster 16760,13,unique
16761,Cluster 16761,2,unique
16762,Cluster 16762,39,unique
16763,Cluster 16763,50,unique
16764,Cluster 16764,6,unique
16765,Cluster 16765,167,unique
16766,Cluster 16766,9,unique
16767,Cluster 16767,16,unique
16768,Cluster 16768,4,unique
16769,Cluster 16769,1,unique
16770,Cluster 16770,2,unique
16771,Cluster 16771,1968,core
16772,Cluster 16772,1,unique
16773,Cluster 16773,7,unique
16774,Cluster 16774,4,unique
16775,Cluster 16775,3,unique
16776,Cluster 16776,3,unique
16777,Cluster 16777,6,unique
16778,Cluster 16778,1,unique
16779,Cluster 16779,160,unique
16780,Cluster 16780,4,unique
16781,Cluster 16781,7,unique
16782,Cluster 16782,1970,core
16783,Cluster 16783,1,unique
16784,Cluster 16784,2,unique
16785,Cluster 16785,7,unique
16786,Cluster 16786,2,unique
16787,Cluster 16787,3,unique
16788,Cluster 16788,1,unique
16789,Cluster 16789,3,unique
16790,Cluster 16790,247,accessory
16791,Cluster 16791,28,unique
16792,Cluster 16792,717,accessory
16793,Cluster 16793,1,unique
16794,Cluster 16794,5,unique
16795,Cluster 16795,1,unique
16796,Cluster 16796,4,unique
16797,Cluster 16797,46,unique
16798,Cluster 16798,2,unique
16799,Cluster 16799,1,unique
16800,Cluster 16800,1,unique
16801,Cluster 16801,396,accessory
16802,Cluster 16802,2,unique
16803,Cluster 16803,1962,core
16804,Cluster 16804,1,unique
16805,Cluster 16805,2,unique
16806,Cluster 16806,4,unique
16807,Cluster 16807,771,accessory
16808,Cluster 16808,3,unique
16809,Cluster 16809,1,unique
16810,Cluster 16810,1945,core
16811,Cluster 16811,1,unique
16812,Cluster 16812,2,unique
16813,Cluster 16813,5,unique
16814,Cluster 16814,3,unique
16815,Cluster 16815,8,unique
16816,Cluster 16816,1,unique
16817,Cluster 16817,1,unique
16818,Cluster 16818,1,unique
16819,Cluster 16819,743,accessory
16820,Cluster 16820,1970,core
16821,Cluster 16821,4,unique
16822,Cluster 16822,1969,core
16823,Cluster 16823,319,accessory
16824,Cluster 16824,687,accessory
16825,Cluster 16825,231,accessory
16826,Cluster 16826,232,accessory
16827,Cluster 16827,4,unique
16828,Cluster 16828,1970,core
16829,Cluster 16829,3,unique
16830,Cluster 16830,898,accessory
16831,Cluster 16831,3,unique
16832,Cluster 16832,2,unique
16833,Cluster 16833,12,unique
16834,Cluster 16834,1033,accessory
16835,Cluster 16835,1,unique
16836,Cluster 16836,19,unique
16837,Cluster 16837,235,accessory
16838,Cluster 16838,40,unique
16839,Cluster 16839,73,unique
16840,Cluster 16840,8,unique
16841,Cluster 16841,5,unique
16842,Cluster 16842,1970,core
16843,Cluster 16843,25,unique
16844,Cluster 16844,1,unique
16845,Cluster 16845,157,unique
16846,Cluster 16846,1,unique
16847,Cluster 16847,245,accessory
16848,Cluster 16848,1,unique
16849,Cluster 16849,32,unique
16850,Cluster 16850,1952,core
16851,Cluster 16851,6,unique
16852,Cluster 16852,1969,core
16853,Cluster 16853,3,unique
16854,Cluster 16854,1,unique
16855,Cluster 16855,2,unique
16856,Cluster 16856,20,unique
16857,Cluster 16857,2,unique
16858,Cluster 16858,10,unique
16859,Cluster 16859,1,unique
16860,Cluster 16860,4,unique
16861,Cluster 16861,2,unique
16862,Cluster 16862,9,unique
16863,Cluster 16863,1,unique
16864,Cluster 16864,6,unique
16865,Cluster 16865,8,unique
16866,Cluster 16866,8,unique
16867,Cluster 16867,1,unique
16868,Cluster 16868,1,unique
16869,Cluster 16869,4,unique
16870,Cluster 16870,4,unique
16871,Cluster 16871,4,unique
16872,Cluster 16872,3,unique
16873,Cluster 16873,2,unique
16874,Cluster 16874,1,unique
16875,Cluster 16875,1,unique
16876,Cluster 16876,5,unique
16877,Cluster 16877,1,unique
16878,Cluster 16878,1966,core
16879,Cluster 16879,7,unique
16880,Cluster 16880,7,unique
16881,Cluster 16881,1,unique
16882,Cluster 16882,4,unique
16883,Cluster 16883,1,unique
16884,Cluster 16884,1,unique
16885,Cluster 16885,16,unique
16886,Cluster 16886,1,unique
16887,Cluster 16887,5,unique
16888,Cluster 16888,11,unique
16889,Cluster 16889,1,unique
16890,Cluster 16890,4,unique
16891,Cluster 16891,6,unique
16892,Cluster 16892,7,unique
16893,Cluster 16893,8,unique
16894,Cluster 16894,1955,core
16895,Cluster 16895,1,unique
16896,Cluster 16896,2,unique
16897,Cluster 16897,1,unique
16898,Cluster 16898,1,unique
16899,Cluster 16899,18,unique
16900,Cluster 16900,300,accessory
16901,Cluster 16901,31,unique
16902,Cluster 16902,3,unique
16903,Cluster 16903,1498,accessory
16904,Cluster 16904,1,unique
16905,Cluster 16905,1,unique
16906,Cluster 16906,1963,core
16907,Cluster 16907,1967,core
16908,Cluster 16908,105,unique
16909,Cluster 16909,2,unique
16910,Cluster 16910,2,unique
16911,Cluster 16911,1,unique
16912,Cluster 16912,2,unique
16913,Cluster 16913,186,accessory
16914,Cluster 16914,9,unique
16915,Cluster 16915,13,unique
16916,Cluster 16916,1959,core
16917,Cluster 16917,67,unique
16918,Cluster 16918,6,unique
16919,Cluster 16919,33,unique
16920,Cluster 16920,18,unique
16921,Cluster 16921,4,unique
16922,Cluster 16922,2,unique
16923,Cluster 16923,2,unique
16924,Cluster 16924,723,accessory
16925,Cluster 16925,14,unique
16926,Cluster 16926,1819,accessory
16927,Cluster 16927,7,unique
16928,Cluster 16928,1063,accessory
16929,Cluster 16929,34,unique
16930,Cluster 16930,7,unique
16931,Cluster 16931,5,unique
16932,Cluster 16932,1,unique
16933,Cluster 16933,126,unique
16934,Cluster 16934,5,unique
16935,Cluster 16935,3,unique
16936,Cluster 16936,2,unique
16937,Cluster 16937,40,unique
16938,Cluster 16938,3,unique
16939,Cluster 16939,1,unique
16940,Cluster 16940,1,unique
16941,Cluster 16941,2,unique
16942,Cluster 16942,1,unique
16943,Cluster 16943,147,unique
16944,Cluster 16944,4,unique
16945,Cluster 16945,5,unique
16946,Cluster 16946,1,unique
16947,Cluster 16947,2,unique
16948,Cluster 16948,1,unique
16949,Cluster 16949,1,unique
16950,Cluster 16950,1,unique
16951,Cluster 16951,1,unique
16952,Cluster 16952,1,unique
16953,Cluster 16953,1,unique
16954,Cluster 16954,3,unique
16955,Cluster 16955,1,unique
16956,Cluster 16956,1,unique
16957,Cluster 16957,1,unique
16958,Cluster 16958,1,unique
16959,Cluster 16959,1,unique
16960,Cluster 16960,1,unique
16961,Cluster 16961,1,unique
16962,Cluster 16962,1,unique
16963,Cluster 16963,1970,core
16964,Cluster 16964,1,unique
16965,Cluster 16965,1,unique
16966,Cluster 16966,7,unique
16967,Cluster 16967,11,unique
16968,Cluster 16968,1,unique
16969,Cluster 16969,3,unique
16970,Cluster 16970,2,unique
16971,Cluster 16971,1,unique
16972,Cluster 16972,3,unique
16973,Cluster 16973,1967,core
16974,Cluster 16974,1,unique
16975,Cluster 16975,26,unique
16976,Cluster 16976,1,unique
16977,Cluster 16977,1,unique
16978,Cluster 16978,1,unique
16979,Cluster 16979,1960,core
16980,Cluster 16980,1,unique
16981,Cluster 16981,1,unique
16982,Cluster 16982,1,unique
16983,Cluster 16983,1,unique
16984,Cluster 16984,1,unique
16985,Cluster 16985,1,unique
16986,Cluster 16986,9,unique
16987,Cluster 16987,1967,core
16988,Cluster 16988,1,unique
16989,Cluster 16989,1,unique
16990,Cluster 16990,2,unique
16991,Cluster 16991,1,unique
16992,Cluster 16992,60,unique
16993,Cluster 16993,2,unique
16994,Cluster 16994,1,unique
16995,Cluster 16995,1,unique
16996,Cluster 16996,1970,core
16997,Cluster 16997,1168,accessory
16998,Cluster 16998,1965,core
16999,Cluster 16999,1968,core
17000,Cluster 17000,1970,core
17001,Cluster 17001,1964,core
17002,Cluster 17002,356,accessory
17003,Cluster 17003,1963,core
17004,Cluster 17004,1969,core
17005,Cluster 17005,1969,core
17006,Cluster 17006,1969,core
17007,Cluster 17007,1970,core
17008,Cluster 17008,27,unique
17009,Cluster 17009,774,accessory
17010,Cluster 17010,2,unique
17011,Cluster 17011,2,unique
17012,Cluster 17012,3,unique
17013,Cluster 17013,3,unique
17014,Cluster 17014,5,unique
17015,Cluster 17015,2,unique
17016,Cluster 17016,2,unique
17017,Cluster 17017,3,unique
17018,Cluster 17018,1,unique
17019,Cluster 17019,1,unique
17020,Cluster 17020,109,unique
17021,Cluster 17021,1392,accessory
17022,Cluster 17022,37,unique
17023,Cluster 17023,10,unique
17024,Cluster 17024,225,accessory
17025,Cluster 17025,1967,core
17026,Cluster 17026,48,unique
17027,Cluster 17027,1521,accessory
17028,Cluster 17028,418,accessory
17029,Cluster 17029,29,unique
17030,Cluster 17030,11,unique
17031,Cluster 17031,1,unique
17032,Cluster 17032,3,unique
17033,Cluster 17033,2,unique
17034,Cluster 17034,1943,core
17035,Cluster 17035,2,unique
17036,Cluster 17036,1,unique
17037,Cluster 17037,1,unique
17038,Cluster 17038,21,unique
17039,Cluster 17039,1,unique
17040,Cluster 17040,3,unique
17041,Cluster 17041,1967,core
17042,Cluster 17042,4,unique
17043,Cluster 17043,88,unique
17044,Cluster 17044,18,unique
17045,Cluster 17045,13,unique
17046,Cluster 17046,1,unique
17047,Cluster 17047,27,unique
17048,Cluster 17048,1913,accessory
17049,Cluster 17049,5,unique
17050,Cluster 17050,2,unique
17051,Cluster 17051,4,unique
17052,Cluster 17052,3,unique
17053,Cluster 17053,385,accessory
17054,Cluster 17054,3,unique
17055,Cluster 17055,2,unique
17056,Cluster 17056,1,unique
17057,Cluster 17057,4,unique
17058,Cluster 17058,5,unique
17059,Cluster 17059,3,unique
17060,Cluster 17060,1,unique
17061,Cluster 17061,5,unique
17062,Cluster 17062,1153,accessory
17063,Cluster 17063,1,unique
17064,Cluster 17064,1963,core
17065,Cluster 17065,1,unique
17066,Cluster 17066,1,unique
17067,Cluster 17067,3,unique
17068,Cluster 17068,1,unique
17069,Cluster 17069,1,unique
17070,Cluster 17070,1,unique
17071,Cluster 17071,713,accessory
17072,Cluster 17072,1,unique
17073,Cluster 17073,7,unique
17074,Cluster 17074,1,unique
17075,Cluster 17075,1,unique
17076,Cluster 17076,1,unique
17077,Cluster 17077,16,unique
17078,Cluster 17078,8,unique
17079,Cluster 17079,2,unique
17080,Cluster 17080,1,unique
17081,Cluster 17081,1,unique
17082,Cluster 17082,1,unique
17083,Cluster 17083,10,unique
17084,Cluster 17084,4,unique
17085,Cluster 17085,1,unique
17086,Cluster 17086,3,unique
17087,Cluster 17087,3,unique
17088,Cluster 17088,2,unique
17089,Cluster 17089,1,unique
17090,Cluster 17090,2,unique
17091,Cluster 17091,1,unique
17092,Cluster 17092,1904,accessory
17093,Cluster 17093,6,unique
17094,Cluster 17094,1,unique
17095,Cluster 17095,1969,core
17096,Cluster 17096,1965,core
17097,Cluster 17097,1276,accessory
17098,Cluster 17098,1,unique
17099,Cluster 17099,1970,core
17100,Cluster 17100,8,unique
17101,Cluster 17101,1965,core
17102,Cluster 17102,2,unique
17103,Cluster 17103,3,unique
17104,Cluster 17104,1970,core
17105,Cluster 17105,2,unique
17106,Cluster 17106,228,accessory
17107,Cluster 17107,2,unique
17108,Cluster 17108,238,accessory
17109,Cluster 17109,188,accessory
17110,Cluster 17110,8,unique
17111,Cluster 17111,1906,accessory
17112,Cluster 17112,13,unique
17113,Cluster 17113,1,unique
17114,Cluster 17114,61,unique
17115,Cluster 17115,17,unique
17116,Cluster 17116,17,unique
17117,Cluster 17117,9,unique
17118,Cluster 17118,1,unique
17119,Cluster 17119,8,unique
17120,Cluster 17120,21,unique
17121,Cluster 17121,8,unique
17122,Cluster 17122,1,unique
17123,Cluster 17123,3,unique
17124,Cluster 17124,11,unique
17125,Cluster 17125,3,unique
17126,Cluster 17126,1,unique
17127,Cluster 17127,1,unique
17128,Cluster 17128,1,unique
17129,Cluster 17129,4,unique
17130,Cluster 17130,1,unique
17131,Cluster 17131,3,unique
17132,Cluster 17132,1153,accessory
17133,Cluster 17133,4,unique
17134,Cluster 17134,5,unique
17135,Cluster 17135,1,unique
17136,Cluster 17136,8,unique
17137,Cluster 17137,1,unique
17138,Cluster 17138,7,unique
17139,Cluster 17139,1,unique
17140,Cluster 17140,2,unique
17141,Cluster 17141,79,unique
17142,Cluster 17142,1,unique
17143,Cluster 17143,3,unique
17144,Cluster 17144,1,unique
17145,Cluster 17145,4,unique
17146,Cluster 17146,3,unique
17147,Cluster 17147,4,unique
17148,Cluster 17148,2,unique
17149,Cluster 17149,2,unique
17150,Cluster 17150,2,unique
17151,Cluster 17151,6,unique
17152,Cluster 17152,1,unique
17153,Cluster 17153,1,unique
17154,Cluster 17154,216,accessory
17155,Cluster 17155,363,accessory
17156,Cluster 17156,241,accessory
17157,Cluster 17157,1,unique
17158,Cluster 17158,1,unique
17159,Cluster 17159,1,unique
17160,Cluster 17160,1,unique
17161,Cluster 17161,3,unique
17162,Cluster 17162,3,unique
17163,Cluster 17163,1940,accessory
17164,Cluster 17164,1,unique
17165,Cluster 17165,1,unique
17166,Cluster 17166,3,unique
17167,Cluster 17167,1,unique
17168,Cluster 17168,4,unique
17169,Cluster 17169,3,unique
17170,Cluster 17170,6,unique
17171,Cluster 17171,484,accessory
17172,Cluster 17172,5,unique
17173,Cluster 17173,2,unique
17174,Cluster 17174,2,unique
17175,Cluster 17175,2,unique
17176,Cluster 17176,1969,core
17177,Cluster 17177,1963,core
17178,Cluster 17178,1970,core
17179,Cluster 17179,373,accessory
17180,Cluster 17180,1970,core
