, ,Number of genomes,gene_class
340,Cluster 340,1,unique
341,Cluster 341,22,unique
342,Cluster 342,13,unique
343,Cluster 343,2,unique
344,Cluster 344,2,unique
345,Cluster 345,1585,core
346,Cluster 346,2,unique
347,Cluster 347,5,unique
348,Cluster 348,1,unique
349,Cluster 349,4,unique
350,Cluster 350,1,unique
351,Cluster 351,2,unique
352,Cluster 352,176,accessory
353,Cluster 353,5,unique
354,Cluster 354,1,unique
355,Cluster 355,2,unique
356,Cluster 356,1,unique
357,Cluster 357,1,unique
358,Cluster 358,2,unique
359,Cluster 359,2,unique
360,Cluster 360,1,unique
361,Cluster 361,1,unique
362,Cluster 362,1,unique
363,Cluster 363,2,unique
364,Cluster 364,8,unique
365,Cluster 365,4,unique
366,Cluster 366,1,unique
367,Cluster 367,4,unique
368,Cluster 368,39,unique
369,Cluster 369,3,unique
370,Cluster 370,21,unique
371,Cluster 371,3,unique
372,Cluster 372,11,unique
373,Cluster 373,1,unique
374,Cluster 374,8,unique
375,Cluster 375,1,unique
376,Cluster 376,11,unique
377,Cluster 377,118,accessory
378,Cluster 378,3,unique
379,Cluster 379,4,unique
380,Cluster 380,1,unique
381,Cluster 381,30,unique
382,Cluster 382,1,unique
383,Cluster 383,3,unique
384,Cluster 384,6,unique
385,Cluster 385,5,unique
386,Cluster 386,1565,core
387,Cluster 387,5,unique
388,Cluster 388,1586,core
389,Cluster 389,1,unique
390,Cluster 390,9,unique
391,Cluster 391,1504,accessory
392,Cluster 392,8,unique
393,Cluster 393,1,unique
394,Cluster 394,1579,core
395,Cluster 395,1582,core
396,Cluster 396,2,unique
397,Cluster 397,2,unique
398,Cluster 398,34,unique
399,Cluster 399,1542,core
400,Cluster 400,1,unique
401,Cluster 401,48,unique
402,Cluster 402,1581,core
403,Cluster 403,4,unique
404,Cluster 404,17,unique
405,Cluster 405,1586,core
406,Cluster 406,3,unique
407,Cluster 407,1556,core
408,Cluster 408,1575,core
409,Cluster 409,1,unique
410,Cluster 410,2,unique
411,Cluster 411,12,unique
412,Cluster 412,1578,core
413,Cluster 413,5,unique
414,Cluster 414,1456,accessory
415,Cluster 415,9,unique
416,Cluster 416,1,unique
417,Cluster 417,3,unique
418,Cluster 418,15,unique
419,Cluster 419,5,unique
420,Cluster 420,1586,core
421,Cluster 421,4,unique
422,Cluster 422,1,unique
423,Cluster 423,1588,core
424,Cluster 424,1510,accessory
425,Cluster 425,1577,core
426,Cluster 426,10,unique
427,Cluster 427,100,accessory
428,Cluster 428,42,unique
429,Cluster 429,3,unique
430,Cluster 430,2,unique
431,Cluster 431,1,unique
432,Cluster 432,3,unique
433,Cluster 433,4,unique
434,Cluster 434,1583,core
435,Cluster 435,2,unique
436,Cluster 436,7,unique
437,Cluster 437,2,unique
438,Cluster 438,3,unique
439,Cluster 439,1,unique
440,Cluster 440,1,unique
441,Cluster 441,2,unique
442,Cluster 442,5,unique
443,Cluster 443,4,unique
444,Cluster 444,1581,core
445,Cluster 445,18,unique
446,Cluster 446,20,unique
447,Cluster 447,13,unique
448,Cluster 448,1,unique
449,Cluster 449,1569,core
450,Cluster 450,3,unique
451,Cluster 451,103,accessory
452,Cluster 452,1,unique
453,Cluster 453,1,unique
454,Cluster 454,1,unique
455,Cluster 455,15,unique
456,Cluster 456,2,unique
457,Cluster 457,13,unique
458,Cluster 458,3,unique
459,Cluster 459,10,unique
460,Cluster 460,1,unique
461,Cluster 461,1489,accessory
462,Cluster 462,1292,accessory
463,Cluster 463,13,unique
464,Cluster 464,37,unique
465,Cluster 465,54,unique
466,Cluster 466,14,unique
467,Cluster 467,7,unique
468,Cluster 468,5,unique
469,Cluster 469,1,unique
470,Cluster 470,1,unique
471,Cluster 471,1580,core
472,Cluster 472,4,unique
473,Cluster 473,1,unique
474,Cluster 474,4,unique
475,Cluster 475,4,unique
476,Cluster 476,1584,core
477,Cluster 477,2,unique
478,Cluster 478,1586,core
479,Cluster 479,1,unique
480,Cluster 480,1390,accessory
481,Cluster 481,4,unique
482,Cluster 482,1587,core
483,Cluster 483,3,unique
484,Cluster 484,4,unique
485,Cluster 485,6,unique
486,Cluster 486,1,unique
487,Cluster 487,1508,accessory
488,Cluster 488,2,unique
489,Cluster 489,1572,core
490,Cluster 490,153,accessory
491,Cluster 491,4,unique
492,Cluster 492,13,unique
493,Cluster 493,2,unique
494,Cluster 494,52,unique
495,Cluster 495,2,unique
496,Cluster 496,1579,core
497,Cluster 497,1565,core
498,Cluster 498,1581,core
499,Cluster 499,2,unique
500,Cluster 500,1,unique
501,Cluster 501,1585,core
502,Cluster 502,3,unique
503,Cluster 503,2,unique
504,Cluster 504,2,unique
505,Cluster 505,2,unique
506,Cluster 506,2,unique
507,Cluster 507,11,unique
508,Cluster 508,5,unique
509,Cluster 509,22,unique
510,Cluster 510,2,unique
511,Cluster 511,95,accessory
512,Cluster 512,1577,core
513,Cluster 513,6,unique
514,Cluster 514,4,unique
515,Cluster 515,103,accessory
516,Cluster 516,8,unique
517,Cluster 517,50,unique
518,Cluster 518,2,unique
519,Cluster 519,1,unique
520,Cluster 520,1,unique
521,Cluster 521,1,unique
522,Cluster 522,49,unique
523,Cluster 523,1,unique
524,Cluster 524,6,unique
525,Cluster 525,1,unique
526,Cluster 526,1,unique
527,Cluster 527,1585,core
528,Cluster 528,1,unique
529,Cluster 529,1578,core
530,Cluster 530,8,unique
531,Cluster 531,1,unique
532,Cluster 532,3,unique
533,Cluster 533,1585,core
534,Cluster 534,1,unique
535,Cluster 535,9,unique
536,Cluster 536,1,unique
537,Cluster 537,6,unique
538,Cluster 538,1,unique
539,Cluster 539,145,accessory
540,Cluster 540,2,unique
541,Cluster 541,1580,core
542,Cluster 542,1,unique
543,Cluster 543,2,unique
544,Cluster 544,1,unique
545,Cluster 545,1,unique
546,Cluster 546,313,accessory
547,Cluster 547,1,unique
548,Cluster 548,1,unique
549,Cluster 549,2,unique
550,Cluster 550,2,unique
551,Cluster 551,3,unique
552,Cluster 552,20,unique
553,Cluster 553,79,unique
554,Cluster 554,1,unique
555,Cluster 555,5,unique
556,Cluster 556,1,unique
557,Cluster 557,1584,core
558,Cluster 558,52,unique
559,Cluster 559,1484,accessory
560,Cluster 560,7,unique
561,Cluster 561,1584,core
562,Cluster 562,5,unique
563,Cluster 563,1,unique
564,Cluster 564,2,unique
565,Cluster 565,1338,accessory
566,Cluster 566,2,unique
567,Cluster 567,1,unique
568,Cluster 568,1,unique
569,Cluster 569,1,unique
570,Cluster 570,982,accessory
571,Cluster 571,3,unique
572,Cluster 572,1,unique
573,Cluster 573,15,unique
574,Cluster 574,1,unique
575,Cluster 575,1408,accessory
576,Cluster 576,16,unique
577,Cluster 577,1,unique
578,Cluster 578,1,unique
579,Cluster 579,1,unique
580,Cluster 580,1,unique
581,Cluster 581,1,unique
582,Cluster 582,1536,core
583,Cluster 583,2,unique
584,Cluster 584,1,unique
585,Cluster 585,2,unique
586,Cluster 586,11,unique
587,Cluster 587,21,unique
588,Cluster 588,1,unique
589,Cluster 589,2,unique
590,Cluster 590,1278,accessory
591,Cluster 591,3,unique
592,Cluster 592,1389,accessory
593,Cluster 593,32,unique
594,Cluster 594,93,unique
595,Cluster 595,761,accessory
596,Cluster 596,39,unique
597,Cluster 597,1586,core
598,Cluster 598,3,unique
599,Cluster 599,1,unique
600,Cluster 600,2,unique
601,Cluster 601,1,unique
602,Cluster 602,1,unique
603,Cluster 603,1586,core
604,Cluster 604,6,unique
605,Cluster 605,1,unique
606,Cluster 606,5,unique
607,Cluster 607,6,unique
608,Cluster 608,1,unique
609,Cluster 609,1,unique
610,Cluster 610,171,accessory
611,Cluster 611,24,unique
612,Cluster 612,14,unique
613,Cluster 613,1,unique
614,Cluster 614,33,unique
615,Cluster 615,1,unique
616,Cluster 616,50,unique
617,Cluster 617,1584,core
618,Cluster 618,4,unique
619,Cluster 619,1,unique
620,Cluster 620,178,accessory
621,Cluster 621,1579,core
622,Cluster 622,1565,core
623,Cluster 623,8,unique
624,Cluster 624,2,unique
625,Cluster 625,1,unique
626,Cluster 626,1,unique
627,Cluster 627,7,unique
628,Cluster 628,2,unique
629,Cluster 629,4,unique
630,Cluster 630,1588,core
631,Cluster 631,1,unique
632,Cluster 632,12,unique
633,Cluster 633,1584,core
634,Cluster 634,6,unique
635,Cluster 635,1524,accessory
636,Cluster 636,5,unique
637,Cluster 637,93,unique
638,Cluster 638,4,unique
639,Cluster 639,122,accessory
640,Cluster 640,1,unique
641,Cluster 641,1,unique
642,Cluster 642,1,unique
643,Cluster 643,1,unique
644,Cluster 644,6,unique
645,Cluster 645,3,unique
646,Cluster 646,2,unique
647,Cluster 647,20,unique
648,Cluster 648,5,unique
649,Cluster 649,1,unique
650,Cluster 650,1,unique
651,Cluster 651,1566,core
652,Cluster 652,1584,core
653,Cluster 653,1,unique
654,Cluster 654,152,accessory
655,Cluster 655,36,unique
656,Cluster 656,564,accessory
657,Cluster 657,1,unique
658,Cluster 658,1582,core
659,Cluster 659,1576,core
660,Cluster 660,14,unique
661,Cluster 661,47,unique
662,Cluster 662,1570,core
663,Cluster 663,48,unique
664,Cluster 664,4,unique
665,Cluster 665,15,unique
666,Cluster 666,1,unique
667,Cluster 667,4,unique
668,Cluster 668,3,unique
669,Cluster 669,1,unique
670,Cluster 670,1,unique
671,Cluster 671,1490,accessory
672,Cluster 672,2,unique
673,Cluster 673,72,unique
674,Cluster 674,38,unique
675,Cluster 675,1570,core
676,Cluster 676,1587,core
677,Cluster 677,1,unique
678,Cluster 678,653,accessory
679,Cluster 679,1,unique
680,Cluster 680,3,unique
681,Cluster 681,6,unique
682,Cluster 682,1,unique
683,Cluster 683,1586,core
684,Cluster 684,23,unique
685,Cluster 685,1,unique
686,Cluster 686,1587,core
687,Cluster 687,12,unique
688,Cluster 688,1,unique
689,Cluster 689,3,unique
690,Cluster 690,1,unique
691,Cluster 691,79,unique
692,Cluster 692,1,unique
693,Cluster 693,1585,core
694,Cluster 694,1586,core
695,Cluster 695,16,unique
696,Cluster 696,1584,core
697,Cluster 697,1089,accessory
698,Cluster 698,1586,core
699,Cluster 699,10,unique
700,Cluster 700,5,unique
701,Cluster 701,3,unique
702,Cluster 702,3,unique
703,Cluster 703,6,unique
704,Cluster 704,2,unique
705,Cluster 705,44,unique
706,Cluster 706,2,unique
707,Cluster 707,1,unique
708,Cluster 708,1584,core
709,Cluster 709,1,unique
710,Cluster 710,1584,core
711,Cluster 711,3,unique
712,Cluster 712,1,unique
713,Cluster 713,160,accessory
714,Cluster 714,508,accessory
715,Cluster 715,9,unique
716,Cluster 716,13,unique
717,Cluster 717,1556,core
718,Cluster 718,2,unique
719,Cluster 719,3,unique
720,Cluster 720,1,unique
721,Cluster 721,1,unique
722,Cluster 722,2,unique
723,Cluster 723,2,unique
724,Cluster 724,2,unique
725,Cluster 725,173,accessory
726,Cluster 726,1587,core
727,Cluster 727,4,unique
728,Cluster 728,7,unique
729,Cluster 729,3,unique
730,Cluster 730,1,unique
731,Cluster 731,37,unique
732,Cluster 732,4,unique
733,Cluster 733,644,accessory
734,Cluster 734,4,unique
735,Cluster 735,1,unique
736,Cluster 736,17,unique
737,Cluster 737,2,unique
738,Cluster 738,4,unique
739,Cluster 739,1,unique
740,Cluster 740,2,unique
741,Cluster 741,57,unique
742,Cluster 742,2,unique
743,Cluster 743,2,unique
744,Cluster 744,983,accessory
745,Cluster 745,3,unique
746,Cluster 746,2,unique
747,Cluster 747,1,unique
748,Cluster 748,88,unique
749,Cluster 749,5,unique
750,Cluster 750,1583,core
751,Cluster 751,1587,core
752,Cluster 752,269,accessory
753,Cluster 753,2,unique
754,Cluster 754,1585,core
755,Cluster 755,1588,core
756,Cluster 756,3,unique
757,Cluster 757,42,unique
758,Cluster 758,1,unique
759,Cluster 759,105,accessory
760,Cluster 760,7,unique
761,Cluster 761,7,unique
762,Cluster 762,10,unique
763,Cluster 763,2,unique
764,Cluster 764,2,unique
765,Cluster 765,1,unique
766,Cluster 766,1,unique
767,Cluster 767,1,unique
768,Cluster 768,2,unique
769,Cluster 769,26,unique
770,Cluster 770,41,unique
771,Cluster 771,1,unique
772,Cluster 772,1,unique
773,Cluster 773,1,unique
774,Cluster 774,3,unique
775,Cluster 775,237,accessory
776,Cluster 776,2,unique
777,Cluster 777,1,unique
778,Cluster 778,1,unique
779,Cluster 779,1,unique
780,Cluster 780,1,unique
781,Cluster 781,4,unique
782,Cluster 782,6,unique
783,Cluster 783,881,accessory
784,Cluster 784,1586,core
785,Cluster 785,18,unique
786,Cluster 786,15,unique
787,Cluster 787,1587,core
788,Cluster 788,2,unique
789,Cluster 789,1,unique
790,Cluster 790,1584,core
791,Cluster 791,906,accessory
792,Cluster 792,1586,core
793,Cluster 793,1569,core
794,Cluster 794,235,accessory
795,Cluster 795,3,unique
796,Cluster 796,1572,core
797,Cluster 797,718,accessory
798,Cluster 798,8,unique
799,Cluster 799,25,unique
800,Cluster 800,1,unique
801,Cluster 801,1582,core
802,Cluster 802,4,unique
803,Cluster 803,786,accessory
804,Cluster 804,1576,core
805,Cluster 805,14,unique
806,Cluster 806,8,unique
807,Cluster 807,3,unique
808,Cluster 808,1584,core
809,Cluster 809,1584,core
810,Cluster 810,3,unique
811,Cluster 811,98,accessory
812,Cluster 812,2,unique
813,Cluster 813,7,unique
814,Cluster 814,4,unique
815,Cluster 815,2,unique
816,Cluster 816,3,unique
817,Cluster 817,127,accessory
818,Cluster 818,2,unique
819,Cluster 819,7,unique
820,Cluster 820,2,unique
821,Cluster 821,1,unique
822,Cluster 822,366,accessory
823,Cluster 823,14,unique
824,Cluster 824,12,unique
825,Cluster 825,1,unique
826,Cluster 826,16,unique
827,Cluster 827,1,unique
828,Cluster 828,19,unique
829,Cluster 829,8,unique
830,Cluster 830,1,unique
831,Cluster 831,27,unique
832,Cluster 832,3,unique
833,Cluster 833,1585,core
834,Cluster 834,3,unique
835,Cluster 835,555,accessory
836,Cluster 836,1,unique
837,Cluster 837,2,unique
838,Cluster 838,1,unique
839,Cluster 839,9,unique
840,Cluster 840,1462,accessory
841,Cluster 841,1588,core
842,Cluster 842,18,unique
843,Cluster 843,482,accessory
844,Cluster 844,71,unique
845,Cluster 845,1,unique
846,Cluster 846,2,unique
847,Cluster 847,3,unique
848,Cluster 848,1,unique
849,Cluster 849,1,unique
850,Cluster 850,7,unique
851,Cluster 851,1582,core
852,Cluster 852,1,unique
853,Cluster 853,1560,core
854,Cluster 854,1,unique
855,Cluster 855,4,unique
856,Cluster 856,7,unique
857,Cluster 857,1,unique
858,Cluster 858,14,unique
859,Cluster 859,1,unique
860,Cluster 860,1586,core
861,Cluster 861,1,unique
862,Cluster 862,2,unique
863,Cluster 863,9,unique
864,Cluster 864,1,unique
865,Cluster 865,7,unique
866,Cluster 866,1583,core
867,Cluster 867,1587,core
868,Cluster 868,9,unique
869,Cluster 869,10,unique
870,Cluster 870,1,unique
871,Cluster 871,1,unique
872,Cluster 872,37,unique
873,Cluster 873,1,unique
874,Cluster 874,1,unique
875,Cluster 875,2,unique
876,Cluster 876,4,unique
877,Cluster 877,2,unique
878,Cluster 878,2,unique
879,Cluster 879,28,unique
880,Cluster 880,1584,core
881,Cluster 881,1574,core
882,Cluster 882,854,accessory
883,Cluster 883,2,unique
884,Cluster 884,1,unique
885,Cluster 885,3,unique
886,Cluster 886,1588,core
887,Cluster 887,1585,core
888,Cluster 888,5,unique
889,Cluster 889,5,unique
890,Cluster 890,1,unique
891,Cluster 891,1,unique
892,Cluster 892,70,unique
893,Cluster 893,341,accessory
894,Cluster 894,2,unique
895,Cluster 895,1587,core
896,Cluster 896,2,unique
897,Cluster 897,37,unique
898,Cluster 898,1,unique
899,Cluster 899,341,accessory
900,Cluster 900,2,unique
901,Cluster 901,1582,core
902,Cluster 902,65,unique
903,Cluster 903,1,unique
904,Cluster 904,1,unique
905,Cluster 905,1568,core
906,Cluster 906,1264,accessory
907,Cluster 907,1,unique
908,Cluster 908,1,unique
909,Cluster 909,11,unique
910,Cluster 910,3,unique
911,Cluster 911,2,unique
912,Cluster 912,1,unique
913,Cluster 913,5,unique
914,Cluster 914,1,unique
915,Cluster 915,1,unique
916,Cluster 916,86,unique
917,Cluster 917,1579,core
918,Cluster 918,61,unique
919,Cluster 919,2,unique
920,Cluster 920,1,unique
921,Cluster 921,1,unique
922,Cluster 922,10,unique
923,Cluster 923,2,unique
924,Cluster 924,5,unique
925,Cluster 925,54,unique
926,Cluster 926,650,accessory
927,Cluster 927,13,unique
928,Cluster 928,1578,core
929,Cluster 929,2,unique
930,Cluster 930,3,unique
931,Cluster 931,187,accessory
932,Cluster 932,4,unique
933,Cluster 933,1,unique
934,Cluster 934,1383,accessory
935,Cluster 935,1582,core
936,Cluster 936,2,unique
937,Cluster 937,21,unique
938,Cluster 938,251,accessory
939,Cluster 939,57,unique
940,Cluster 940,3,unique
941,Cluster 941,2,unique
942,Cluster 942,1583,core
943,Cluster 943,3,unique
944,Cluster 944,1585,core
945,Cluster 945,1300,accessory
946,Cluster 946,13,unique
947,Cluster 947,4,unique
948,Cluster 948,2,unique
949,Cluster 949,1,unique
950,Cluster 950,1,unique
951,Cluster 951,1,unique
952,Cluster 952,1,unique
953,Cluster 953,1586,core
954,Cluster 954,282,accessory
955,Cluster 955,1566,core
956,Cluster 956,28,unique
957,Cluster 957,2,unique
958,Cluster 958,6,unique
959,Cluster 959,2,unique
960,Cluster 960,149,accessory
961,Cluster 961,1587,core
962,Cluster 962,1,unique
963,Cluster 963,7,unique
964,Cluster 964,150,accessory
965,Cluster 965,9,unique
966,Cluster 966,6,unique
967,Cluster 967,3,unique
968,Cluster 968,1583,core
969,Cluster 969,7,unique
970,Cluster 970,1587,core
971,Cluster 971,1,unique
972,Cluster 972,2,unique
973,Cluster 973,2,unique
974,Cluster 974,1,unique
975,Cluster 975,1560,core
976,Cluster 976,1,unique
977,Cluster 977,1585,core
978,Cluster 978,1,unique
979,Cluster 979,1588,core
980,Cluster 980,1588,core
981,Cluster 981,1,unique
982,Cluster 982,93,unique
983,Cluster 983,1,unique
984,Cluster 984,1556,core
985,Cluster 985,141,accessory
986,Cluster 986,1581,core
987,Cluster 987,1571,core
