, ,Number of genomes
408,Cluster 408,13
409,Cluster 409,2
410,Cluster 410,3
411,Cluster 411,1
412,Cluster 412,21
413,Cluster 413,7
414,Cluster 414,579
415,Cluster 415,2
416,Cluster 416,3
417,Cluster 417,2
418,Cluster 418,1
419,Cluster 419,89
420,Cluster 420,4
421,Cluster 421,1
422,Cluster 422,13
423,Cluster 423,45
424,Cluster 424,1
425,Cluster 425,6
426,Cluster 426,552
427,Cluster 427,585
428,Cluster 428,1
429,Cluster 429,22
430,Cluster 430,1
431,Cluster 431,1
432,Cluster 432,590
433,Cluster 433,4
434,Cluster 434,1
435,Cluster 435,15
436,Cluster 436,1
437,Cluster 437,1
438,Cluster 438,2
439,Cluster 439,1
440,Cluster 440,5
441,Cluster 441,75
442,Cluster 442,3
443,Cluster 443,2
444,Cluster 444,22
445,Cluster 445,593
446,Cluster 446,97
447,Cluster 447,3
448,Cluster 448,3
449,Cluster 449,1
450,Cluster 450,22
451,Cluster 451,4
452,Cluster 452,13
453,Cluster 453,1
454,Cluster 454,3
455,Cluster 455,7
456,Cluster 456,1
457,Cluster 457,7
458,Cluster 458,11
459,Cluster 459,588
460,Cluster 460,101
461,Cluster 461,1
462,Cluster 462,1
463,Cluster 463,1
464,Cluster 464,1
465,Cluster 465,2
466,Cluster 466,37
467,Cluster 467,565
468,Cluster 468,1
469,Cluster 469,1
470,Cluster 470,6
471,Cluster 471,2
472,Cluster 472,591
473,Cluster 473,11
474,Cluster 474,6
475,Cluster 475,1
476,Cluster 476,13
477,Cluster 477,3
478,Cluster 478,1
479,Cluster 479,2
480,Cluster 480,591
481,Cluster 481,2
482,Cluster 482,6
483,Cluster 483,7
484,Cluster 484,4
485,Cluster 485,1
486,Cluster 486,1
487,Cluster 487,8
488,Cluster 488,8
489,Cluster 489,3
490,Cluster 490,9
491,Cluster 491,1
492,Cluster 492,399
493,Cluster 493,22
494,Cluster 494,1
495,Cluster 495,5
496,Cluster 496,590
497,Cluster 497,3
498,Cluster 498,5
499,Cluster 499,1
500,Cluster 500,7
501,Cluster 501,1
502,Cluster 502,20
503,Cluster 503,3
504,Cluster 504,42
505,Cluster 505,1
506,Cluster 506,593
507,Cluster 507,21
508,Cluster 508,98
509,Cluster 509,41
510,Cluster 510,1
511,Cluster 511,1
512,Cluster 512,40
513,Cluster 513,592
514,Cluster 514,4
515,Cluster 515,578
516,Cluster 516,25
517,Cluster 517,1
518,Cluster 518,6
519,Cluster 519,184
520,Cluster 520,1
521,Cluster 521,1
522,Cluster 522,1
523,Cluster 523,3
524,Cluster 524,1
525,Cluster 525,3
526,Cluster 526,3
527,Cluster 527,1
528,Cluster 528,499
529,Cluster 529,595
530,Cluster 530,2
531,Cluster 531,23
532,Cluster 532,4
533,Cluster 533,2
534,Cluster 534,570
535,Cluster 535,94
536,Cluster 536,9
537,Cluster 537,1
538,Cluster 538,1
539,Cluster 539,4
540,Cluster 540,17
541,Cluster 541,1
542,Cluster 542,1
543,Cluster 543,12
544,Cluster 544,1
545,Cluster 545,2
546,Cluster 546,1
547,Cluster 547,11
548,Cluster 548,1
549,Cluster 549,5
550,Cluster 550,590
551,Cluster 551,1
552,Cluster 552,3
553,Cluster 553,3
554,Cluster 554,17
555,Cluster 555,1
556,Cluster 556,1
557,Cluster 557,1
558,Cluster 558,1
559,Cluster 559,3
560,Cluster 560,1
561,Cluster 561,5
562,Cluster 562,4
563,Cluster 563,1
564,Cluster 564,21
565,Cluster 565,1
566,Cluster 566,1
567,Cluster 567,7
568,Cluster 568,18
569,Cluster 569,1
570,Cluster 570,1
571,Cluster 571,1
572,Cluster 572,5
573,Cluster 573,2
574,Cluster 574,61
575,Cluster 575,1
576,Cluster 576,6
577,Cluster 577,1
578,Cluster 578,48
579,Cluster 579,1
580,Cluster 580,7
581,Cluster 581,96
582,Cluster 582,5
583,Cluster 583,1
584,Cluster 584,14
585,Cluster 585,45
586,Cluster 586,2
587,Cluster 587,1
588,Cluster 588,2
589,Cluster 589,1
590,Cluster 590,4
591,Cluster 591,2
592,Cluster 592,4
593,Cluster 593,1
594,Cluster 594,3
595,Cluster 595,25
596,Cluster 596,1
597,Cluster 597,8
598,Cluster 598,1
599,Cluster 599,1
600,Cluster 600,8
601,Cluster 601,1
602,Cluster 602,588
603,Cluster 603,3
604,Cluster 604,587
605,Cluster 605,17
606,Cluster 606,43
607,Cluster 607,1
608,Cluster 608,1
609,Cluster 609,4
610,Cluster 610,3
611,Cluster 611,25
612,Cluster 612,30
613,Cluster 613,11
614,Cluster 614,3
615,Cluster 615,1
616,Cluster 616,8
617,Cluster 617,9
618,Cluster 618,1
